,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"How You Like That",BLACKPINK,66697,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",35399,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,"Stuck with U (with Justin Bieber)","Ariana Grande",30831,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
4,"Be Kind (with Halsey)",Marshmello,27702,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
5,"Someone You Loved","Lewis Capaldi",24623,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
6,Monster,"Red Velvet - IRENE & SEULGI",23727,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
7,"Blinding Lights","The Weeknd",23522,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"Before You Go","Lewis Capaldi",23257,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
9,"Your eyes tell",BTS,22268,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz
10,Maria,"Hwa Sa",21110,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
11,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,21102,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
12,"death bed (coffee for your head)",Powfu,20780,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
13,"Play Date","Melanie Martinez",20141,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
14,"eight(Prod.&Feat. SUGA of BTS)",IU,20119,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
15,"you broke me first","Tate McRae",19908,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
16,"ily (i love you baby) (feat. Emilee)","Surf Mesa",19826,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
