,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bando,ANNA,317052,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
2,"Good Times",Ghali,304100,https://open.spotify.com/track/6GpvHaqp0Yybx9P6YnodRD
3,"Boogieman (feat. Salmo)",Ghali,246820,https://open.spotify.com/track/10Q5VqDAAbwExYkNha3VKH
4,"Snitch E Impicci (con FSK SATELLITE)",DrefGold,219765,https://open.spotify.com/track/6HDdOPc6FWpMfjC8ebzdRC
5,"Per sentirmi vivo",Fasma,218602,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
6,"blun7 a swishland","tha Supreme",215201,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
7,"Ringo Starr","Pinguini Tattici Nucleari",210480,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
8,Rapide,Mahmood,197111,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
9,"Musica (E Il Resto Scompare)","Elettra Lamborghini",177189,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
10,"Fai rumore",Diodato,170076,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
11,"Blinding Lights","The Weeknd",162347,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
12,Viceversa,"Francesco Gabbani",158894,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
13,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",150859,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
14,"Marymango (feat. tha Supreme)",Ghali,148419,https://open.spotify.com/track/7eHHKYb2cRRqqzl8bbiwA3
15,"RAP SHIT (feat. tha Supreme & Gemitaiz) - prod. STABBER",Nitro,145988,https://open.spotify.com/track/2Fbj0y0HEUKCZkUsI71PUx
16,"Dance Monkey","Tones And I",136055,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
17,Tusa,"KAROL G",135298,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
18,"ANSIA NO","FSK SATELLITE",132311,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
19,"BRAVI A CADERE - I polmoni",Marracash,128815,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
20,"Me ne frego","Achille Lauro",127782,https://open.spotify.com/track/1MF3gav7PNaNkv7ohlBKBD
21,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,122403,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
22,Falling,"Trevor Daniel",115017,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
23,"Before You Go","Lewis Capaldi",113349,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
24,"fuck 3x","tha Supreme",112029,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
25,"Stu core t'apparten","Rocco Hunt",108684,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
26,Andromeda,Elodie,108575,https://open.spotify.com/track/4iceKk4reL0vg2yDwXxQNF
27,ROXANNE,"Arizona Zervas",105646,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
28,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,104778,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
29,"Don't Start Now","Dua Lipa",103628,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
30,Tikibombom,Levante,102029,https://open.spotify.com/track/4JNT4VElmvNmJaQUhwPzg9
31,"Tutto Questo Sei Tu",Ultimo,100615,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
32,"Allora ciao",Shade,97212,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
33,"NEON - Le Ali (feat. Elisa)",Marracash,97032,https://open.spotify.com/track/1eUQzE6z4GUgA0byOPeCJF
34,"CRUDELIA - I nervi",Marracash,94724,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
35,"PAROLA - feat. Lazza, Emis Killa",Giaime,92724,https://open.spotify.com/track/2tQ7vPjN88wkQl5hSNSbVF
36,Courmayeur,"DJ Matrix",90466,https://open.spotify.com/track/3ueGWDwh5tMsoKjxJnUFcB
37,Calmo,Shiva,89783,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
38,"The Box","Roddy Ricch",89464,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
39,Chiasso,Random,88551,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
40,"Una volta ancora (feat. Ana Mena)","Fred De Palma",87418,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
41,"RITMO (Bad Boys For Life)","Black Eyed Peas",86449,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
42,"La Mia Hit (feat. Max Pezzali)",J-AX,80680,https://open.spotify.com/track/4bMfWDvKPCFQ2df7Qf2UTs
43,"Roses - Imanbek Remix","SAINt JHN",80123,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
44,"Il tuo profumo","Fred De Palma",78583,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
45,"Fiori di Chernobyl",Mr.Rain,78550,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
46,"Che Poi","Carl Brave",77293,https://open.spotify.com/track/55BfNKdOeu77gxPB0UGnAw
47,"Godzilla (feat. Juice WRLD)",Eminem,74845,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
48,"Cin Cin",Alfa,73775,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
49,"death bed (coffee for your head)",Powfu,73715,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
50,"Trip - feat. Nayt","Nicola Siciliano",72832,https://open.spotify.com/track/7cPnWOWOAe5yAvIPQCz8Lw
51,"Soldi in Nero - feat. Sfera Ebbasta",Shiva,72737,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
52,Physical,"Dua Lipa",71622,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
53,Barrio,Mahmood,70408,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
54,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",70243,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
55,"Chance (feat. Capo Plaza)",Shiva,69954,https://open.spotify.com/track/7CQwJNaHvxUPye0X7bTh7g
56,"Gigolò (feat. Sfera Ebbasta & Capo Plaza)",Lazza,68939,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
57,"Magnifico difetto","Benji & Fede",68784,https://open.spotify.com/track/0IKfkRzt3d1FoNla2dKi1J
58,"Regina Coeli","Carl Brave",68193,https://open.spotify.com/track/5Ajd1Pr5GkoBbdC1D43ysH
59,"Dove e quando","Benji & Fede",67515,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
60,"Someone You Loved","Lewis Capaldi",66733,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
61,"OKAY?! (feat. Lazza) - prod. Lazza & STABBER",Nitro,66446,https://open.spotify.com/track/5dIkDibfzme6eZddAOQQqZ
62,"Non Avere Paura","Tommaso Paradiso",66377,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
63,"GANG (feat. Geolier)","Samurai Jay",65680,https://open.spotify.com/track/2Yd6hF9rBSibtF4hlcnBEw
64,"Piccola Stella",Ultimo,65467,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
65,Bossoli,Shiva,65075,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
66,Candy,VillaBanks,63064,https://open.spotify.com/track/3a3EzSxWvDno8RpTMv7Xch
67,"SCACCIACANI - feat. Massimo Pericolo - prod. Crookers & Nic Sarno",Ketama126,62841,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3
68,Lento,"Boro Boro",62408,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
69,22:22,Ghali,61431,https://open.spotify.com/track/73hTfGHBSYC8iI6He1optV
70,"Polo nord - C+N Progressive Mix","Massimo Pericolo",61230,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh
71,"Vamos Pa La Banca (feat. Geolier, Samurai Jay & Lele Blade)","Dat Boi Dee",60692,https://open.spotify.com/track/4BWhorzhcnimKOoXxYnhz4
72,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,59156,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
73,"Lose Control",MEDUZA,57802,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
74,"MALA SANTA","Becky G",57787,https://open.spotify.com/track/5e50NiIlOc2YJIftHzoehd
75,"Saturno - prod. Strage",Nitro,57403,https://open.spotify.com/track/6AOL4BUu1uololprpYnlfH
76,"m12ano - feat. Mara Sattei","tha Supreme",56393,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
77,"Que Calor (with J Balvin & El Alfa)","Major Lazer",56322,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
78,"Mon Fre - feat. Emis Killa",Shiva,56139,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
79,Muévelo,"Nicky Jam",56077,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
80,"Ma il cielo è sempre più blu","Rino Gaetano",55164,https://open.spotify.com/track/1L9m2l2lhXgQ3GwmmCx3OK
81,"Me Gusta",Shakira,54976,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
82,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,54609,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
83,"È sempre bello",Coez,54605,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
84,"GarbAge - prod. Strage & STABBER",Nitro,54535,https://open.spotify.com/track/4zZ1KLUmzKY3rqlOlq68hW
85,"LOVE BANDANA - feat. Tedua",Ketama126,54498,https://open.spotify.com/track/15hXSWGLcvtUZLtzCY7E0Q
86,baby,Madame,53941,https://open.spotify.com/track/4EMLX3YmqnVNgajJ99I3gX
87,Yummy,"Justin Bieber",53230,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
88,"MADAME - L'anima (feat. Madame)",Marracash,52782,https://open.spotify.com/track/2wL96n9ToLGhekNTFrPhxj
89,"Carillon (with Achille Lauro)",Nahaze,52541,https://open.spotify.com/track/4uRx3SdWG2cNVfRNVPwHDS
90,"Sei bella come Roma","DANDY TURNER",52067,https://open.spotify.com/track/51MYYyG3fjM3rttqRByqTl
91,Rozzi,Paky,51545,https://open.spotify.com/track/3Y00k9cPoW8BnJesUEFoWn
