,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
51,"Amor de Fim de Noite",Orochi,144535,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J
52,Falling,"Trevor Daniel",144077,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
53,"Lose Control",MEDUZA,140710,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
54,"Say So","Doja Cat",140422,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
55,"Chama Ela (feat. Pedro Sampaio)",Lexa,137104,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ
56,Amoreco,"Simone & Simaria",133245,https://open.spotify.com/track/15Dl8e6gdR0I1IQn0M4SGi
57,"Despedida - Ao Vivo","Wesley Safadão",132718,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
58,"Tiro Certo - Ao Vivo","Zé Felipe",132712,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk
59,Girassol,"Priscilla Alcantara",132148,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj
60,"Vou Ter Que Superar - Ao Vivo","Matheus & Kauan",131126,https://open.spotify.com/track/6sRLrSetyIwIKhW1eMlUNP
61,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",131080,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
62,"Pipa Voada (feat. Emicida)",Rashid,130373,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi
63,"Gaiola É o Troco","MC Du Black",130206,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
64,Complicado,Vitão,125581,https://open.spotify.com/track/6toDZSoqG5QUitFsoxavRy
65,"Dois Lados","Wesley Safadão",124754,https://open.spotify.com/track/3vSXPjfcebTt5mB8DXHWM6
66,"Para, Pensa e Volta - Ao Vivo","Yasmin Santos",123923,https://open.spotify.com/track/2KyXyTrp3kp1Fsg7B1osYD
67,Señorita,"Shawn Mendes",123233,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
68,Paredão,"MC Kevinho",122850,https://open.spotify.com/track/5FFpRbsH9WDYNoLauRAHpj
69,Tusa,"KAROL G",122067,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
70,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",122035,https://open.spotify.com/track/23zmMwD99ROi9yhxqMxWil
71,"Erro Antigo - Ao Vivo","Diego & Victor Hugo",120940,https://open.spotify.com/track/7qpXCkcr3Zj4LDvdiWryns
72,"Someone You Loved","Lewis Capaldi",120485,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
73,Tentativas,"Marília Mendonça",120452,https://open.spotify.com/track/5STHFaWYO1KeyITjvB4hR8
74,"Kenny G",Matuê,119974,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW
75,"Mil Anos - Recorded At Mosh Studios, São Paulo","Jorge & Mateus",119440,https://open.spotify.com/track/4UUtssVRs2aQTLQCAAtZg1
