,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"X (with KAROL G)","Jonas Brothers",499494,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
57,"Play Date","Melanie Martinez",499418,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
58,"Too Comfortable",Future,498112,https://open.spotify.com/track/0biVzpdI2z0vAxwfU9xuuA
59,"Ballin' (with Roddy Ricch)",Mustard,494191,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
60,Savage,"Megan Thee Stallion",492904,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
61,"hot girl bummer",blackbear,475401,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
62,"SICKO MODE","Travis Scott",471568,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
63,P2,"Lil Uzi Vert",470670,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
64,"Lucid Dreams","Juice WRLD",467932,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
65,21,"Polo G",462532,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
66,"Boss Bitch","Doja Cat",457259,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
67,"Someone You Loved","Lewis Capaldi",452486,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
68,Myron,"Lil Uzi Vert",452480,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
69,"Pray For A Key",Future,452102,https://open.spotify.com/track/5D2M4HrTJjrksPGDOKa3tY
70,"Pain 1993 (with Playboi Carti)",Drake,447981,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
71,"Outer Space Bih",Future,446148,https://open.spotify.com/track/6b3i6FDLfhuB3OB8zeANrH
72,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,445270,https://open.spotify.com/track/4Qd0pa3JO76UEwhos9JmN0
73,"Godzilla (feat. Juice WRLD)",Eminem,439293,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
74,"Don't Believe The Hype","Polo G",438780,https://open.spotify.com/track/3TciLI5wo7RddPtAFhiU9V
75,"Accepting My Flaws",Future,427973,https://open.spotify.com/track/6n6CmyLTCIXJCPZnv7h2rn
76,PTSD,"G Herbo",425567,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
77,"Yo Perreo Sola","Bad Bunny",422746,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
78,"ily (i love you baby) (feat. Emilee)","Surf Mesa",421549,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
79,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",419992,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
80,"Martin & Gina","Polo G",418848,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
81,"Dance Monkey","Tones And I",415653,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
82,"In Your Eyes","The Weeknd",409105,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
83,"Heartless (feat. Mustard)","Polo G",408745,https://open.spotify.com/track/2iP3unJbxZvRuqyrS0ocZy
84,BOP,DaBaby,407596,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
85,"If the World Was Ending - feat. Julia Michaels","JP Saxe",403226,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
86,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",397305,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
87,Robbery,"Juice WRLD",390706,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
