,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",1821145,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Myron,"Lil Uzi Vert",1233920,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
3,"Blueberry Faygo","Lil Mosey",1051869,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
4,"Blinding Lights","The Weeknd",1034358,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,P2,"Lil Uzi Vert",1001053,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
6,"That Way - Bonus Track","Lil Uzi Vert",987740,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
7,"Say So","Doja Cat",917173,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"WHATS POPPIN","Jack Harlow",886305,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
9,"Baby Pluto","Lil Uzi Vert",868249,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
10,"Bean (Kobe) [feat. Chief Keef]","Lil Uzi Vert",858934,https://open.spotify.com/track/0IpnZchq8ek2A6pGEP2Qb1
11,ROXANNE,"Arizona Zervas",837910,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
12,"Intentions (feat. Quavo)","Justin Bieber",834002,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
13,"High Fashion (feat. Mustard)","Roddy Ricch",819895,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
14,"Life Is Good (feat. Drake)",Future,794896,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
15,Yessirskiii,"Lil Uzi Vert",779181,https://open.spotify.com/track/59JWp4PjZ9TRM8cmtaDYB1
16,"Don't Start Now","Dua Lipa",778525,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
17,"Godzilla (feat. Juice WRLD)",Eminem,770545,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
18,"Lo Mein","Lil Uzi Vert",749387,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
19,Circles,"Post Malone",738980,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
20,Falling,"Trevor Daniel",719797,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
