,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Don't Care (with Justin Bieber)","Ed Sheeran",9467,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
2,"Beautiful People (feat. Khalid)","Ed Sheeran",9356,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
3,Señorita,"Shawn Mendes",9277,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
4,"Goodbyes (Feat. Young Thug)","Post Malone",7471,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
5,"Antisocial (with Travis Scott)","Ed Sheeran",6423,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
6,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",5234,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
7,"Money In The Grave (Drake ft. Rick Ross)",Drake,5061,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
8,"bad guy","Billie Eilish",5041,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
9,"Remember The Name (feat. Eminem & 50 Cent)","Ed Sheeran",4688,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
10,"No Guidance (feat. Drake)","Chris Brown",4674,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
11,"Someone You Loved","Lewis Capaldi",4672,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4597,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
13,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",4590,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
14,Panini,"Lil Nas X",4466,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
15,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",4189,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
16,"Call You Mine","The Chainsmokers",4181,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
17,"bad guy (with Justin Bieber)","Billie Eilish",3867,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
18,"If I Can't Have You","Shawn Mendes",3795,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
19,"You Need To Calm Down","Taylor Swift",3759,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
20,"Talk (feat. Disclosure)",Khalid,3729,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
21,"Best Part of Me (feat. YEBBA)","Ed Sheeran",3659,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis
22,"The London (feat. J. Cole & Travis Scott)","Young Thug",3536,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
23,"Dancing With A Stranger (with Normani)","Sam Smith",3506,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
24,"Piece Of Your Heart",MEDUZA,3427,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
25,"Never Really Over","Katy Perry",3404,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
26,"Eastside (with Halsey & Khalid)","benny blanco",3258,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
27,"It's You","Ali Gatie",3222,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
28,Sucker,"Jonas Brothers",3186,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
29,"Take Me Back to London (feat. Stormzy)","Ed Sheeran",3129,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0
30,Rodeo,"Lil Nas X",3070,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n
31,"Truth Hurts",Lizzo,3012,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
32,Happier,Marshmello,2966,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
33,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",2879,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
34,"SOS (feat. Aloe Blacc)",Avicii,2868,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
