,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",15520,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,"Mood (feat. iann dior)",24kGoldn,13500,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Laugh Now Cry Later (feat. Lil Durk)",Drake,11555,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
4,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,9901,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
5,"Xola Moya Wam'","Nomcebo Zikode",9789,https://open.spotify.com/track/0CLyxycXWr4PP7PgeGRn8u
6,"POPSTAR (feat. Drake)","DJ Khaled",9712,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
7,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",9695,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
8,"Blinding Lights","The Weeknd",9606,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",9560,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
10,"Mood Swings (feat. Lil Tjay)","Pop Smoke",9243,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
11,"Savage Love (Laxed - Siren Beat)","Jawsh 685",8859,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
12,"Go Crazy","Chris Brown",8635,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
13,"Breaking Me",Topic,8474,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
14,"Roses - Imanbek Remix","SAINt JHN",8075,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
15,"Head & Heart (feat. MNEK)","Joel Corry",8014,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
16,"Watermelon Sugar","Harry Styles",7562,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
17,"you broke me first","Tate McRae",6918,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
18,"Wishing Well","Juice WRLD",6671,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
19,"Come & Go (with Marshmello)","Juice WRLD",6669,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
20,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",6576,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
21,Dynamite,BTS,6558,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
22,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",6413,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
23,"GREECE (feat. Drake)","DJ Khaled",6263,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
24,"Someone You Loved","Lewis Capaldi",6214,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,"To Whom it May Concern","Cassper Nyovest",5931,https://open.spotify.com/track/48kRiwWllyUvwVktXXSxyF
26,Dior,"Pop Smoke",5794,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
