,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"HIGHEST IN THE ROOM","Travis Scott",1882172,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
2,Circles,"Post Malone",1368615,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1327115,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
4,"Lights Up","Harry Styles",1193241,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
5,"10,000 Hours (with Justin Bieber)","Dan + Shay",1060642,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
6,"hot girl bummer",blackbear,935945,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
7,"223's (feat. 9lokknine)","YNW Melly",899543,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
8,"Someone You Loved","Lewis Capaldi",881807,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"Truth Hurts",Lizzo,858825,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
10,"Hot (feat. Gunna)","Young Thug",851078,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
11,Ransom,"Lil Tecca",813142,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
12,Memories,"Maroon 5",780143,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
13,"Goodbyes (Feat. Young Thug)","Post Malone",766671,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
14,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",751584,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
15,"No Guidance (feat. Drake)","Chris Brown",749083,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
16,Camelot,"NLE Choppa",740167,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
17,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",720509,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
18,"Money In The Grave (Drake ft. Rick Ross)",Drake,716502,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
19,Saint-Tropez,"Post Malone",709861,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
20,BOP,DaBaby,687733,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
21,Panini,"Lil Nas X",676449,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
22,VIBEZ,DaBaby,675418,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
23,"Dance Monkey","Tones And I",627585,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
24,"Enemies (feat. DaBaby)","Post Malone",622650,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
25,"Beautiful People (feat. Khalid)","Ed Sheeran",605439,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
26,"How Do You Sleep?","Sam Smith",593837,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
27,"Good as Hell",Lizzo,593807,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
28,"bad guy","Billie Eilish",579366,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
29,"Baby (Lil Baby feat. DaBaby)","Quality Control",579099,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
30,F.N,"Lil Tjay",566955,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
31,Señorita,"Shawn Mendes",562381,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
32,Suge,DaBaby,556913,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
33,"The London (feat. J. Cole & Travis Scott)","Young Thug",535844,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
