,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,WANNABE,ITZY,46449,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
2,"Intentions (feat. Quavo)","Justin Bieber",42044,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
3,"Dance Monkey","Tones And I",38583,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",35269,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Say So","Doja Cat",33212,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
6,"death bed (coffee for your head)",Powfu,32788,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Blinding Lights","The Weeknd",31545,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
8,Memories,"Maroon 5",30755,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
9,Falling,"Trevor Daniel",29640,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,"Someone You Loved","Lewis Capaldi",29340,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,Circles,"Post Malone",27947,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12,"The Box","Roddy Ricch",27771,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
13,Supalonely,BENEE,27347,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
14,ROXANNE,"Arizona Zervas",25327,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,Yummy,"Justin Bieber",24000,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
16,"Who (feat. BTS)",Lauv,23808,https://open.spotify.com/track/2qG81jL9UIP54uS8gYyP4k
17,"Before You Go","Lewis Capaldi",23525,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
18,"Sunday Best",Surfaces,22484,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
19,"Modern Loneliness",Lauv,22470,https://open.spotify.com/track/1eyek0KJEh2v5HQ9uQSybb
20,"Blueberry Faygo","Lil Mosey",22421,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
21,"Mean It",Lauv,20626,https://open.spotify.com/track/3uc8AGNL0KbvISIrjnfRvN
