,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",406290,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",355898,https://open.spotify.com/track/1MtmXPxXP4ntSjfF5xnOyM
3,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",344713,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
4,"Gigolò (feat. Sfera Ebbasta & Capo Plaza)",Lazza,317721,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
5,Chiasso,Random,296909,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
6,"Una volta ancora (feat. Ana Mena)","Fred De Palma",287046,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
7,Bossoli,Shiva,268401,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
8,"Twerk (con Boro Boro)",MamboLosco,251765,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
9,Barrio,Mahmood,242876,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
10,"Non Avere Paura","Tommaso Paradiso",236817,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
11,"Non sto più in zona",Shiva,208897,https://open.spotify.com/track/2PQuj6TMxl5hcgMG30e2Ij
12,Lento,"Boro Boro",205077,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
13,"Cin Cin",Alfa,204237,https://open.spotify.com/track/0EThQdS5hqhByp2CLttKin
14,"MI AMI O NO (feat. Capo Plaza)",Giaime,199379,https://open.spotify.com/track/2UsAeEA2JH7kKSOflP23zY
15,"Fuori E Dentro (feat. tha Supreme)",Gemitaiz,190773,https://open.spotify.com/track/34UHhwlly3SHryWuVfMOJm
16,"Mon Fre - feat. Emis Killa",Shiva,181479,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
17,"Piccola Stella",Ultimo,177178,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
18,"Dove e quando","Benji & Fede",162029,https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h
19,"YOSHI (feat. tha Supreme, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]",MACHETE,161502,https://open.spotify.com/track/0VU34EBWTAlHVIZE3aWlZA
20,"Na Na Na",Holden,156357,https://open.spotify.com/track/1cg6IqyZgBCU6P34gY161z
21,"Margarita (con Marracash)",Elodie,155792,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b
22,"Non Ci Sto (con Marracash & Carl Brave)",Shablo,152013,https://open.spotify.com/track/5stH9hqpR941AmiJ9tVzrN
23,"Come Mai (feat. Franco126)","Fabri Fibra",147050,https://open.spotify.com/track/16fE0hmyOpqKrZkvEp5qmd
24,FIORI,Giaime,146180,https://open.spotify.com/track/500c6DLy4ag8gFAnkuzTxP
25,"SCACCIACANI - feat. Massimo Pericolo - prod. Crookers & Nic Sarno",Ketama126,145672,https://open.spotify.com/track/2665YLaM0dLaIhkjpUHT7k
26,Lalala,Y2K,144590,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
27,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,144492,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
28,"Yacht (feat. Luchè)",Geolier,141380,https://open.spotify.com/track/780Drm5O3LVEktpgca0IVr
29,"La hit dell'estate",Shade,137777,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
30,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",135896,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
31,"HIGHEST IN THE ROOM","Travis Scott",132938,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
32,Limousine,"Enzo Dong",128281,https://open.spotify.com/track/7ztN8tfXYaC8LBRyLZJLA1
33,"Mambo Salentino",Boomdabash,128265,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
34,"La tua canzone",Coez,127850,https://open.spotify.com/track/4Z43nMEiOiNeDrqu2BN0JD
35,Señorita,"Shawn Mendes",126352,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
36,Arrogante,Irama,123053,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
37,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",122548,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
38,"Look Back at It (feat. CAPO PLAZA)","A Boogie Wit da Hoodie",119872,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G
39,"Esagono (feat. Salmo)",Gemitaiz,117701,https://open.spotify.com/track/0Rsfm3UqHkNzKsb6L0Yz3Y
40,"Nisciun' (feat. Geolier)","Rocco Hunt",117014,https://open.spotify.com/track/6nUJr7wd4hiPBLjC8Db2Cr
41,JAMBO,"Takagi & Ketra",116942,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
42,China,"Anuel AA",114763,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
43,Narcos,Geolier,112356,https://open.spotify.com/track/1BdmcsFAODQR4x7eiOuRVf
44,"Attraverso Me (feat. Luchè)","Night Skinny",110756,https://open.spotify.com/track/3zxZa44T41BWejPmrzY819
45,"Veleno 7",Gemitaiz,107929,https://open.spotify.com/track/2jkIbZ43eH3rM1yro2Ojzh
46,"Beautiful People (feat. Khalid)","Ed Sheeran",107074,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
47,"Duemila volte","Marco Mengoni",106965,https://open.spotify.com/track/7wQ9SAdzNgJ7dR1mXQiYfF
48,"Senz E Me",Geolier,105928,https://open.spotify.com/track/35tcdhST5fj8WlVleES9Dy
49,Memories,"Maroon 5",105822,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
50,"MARYLEAN (feat. Marracash) - prod. Low Kidd",MACHETE,105738,https://open.spotify.com/track/28fRkU3vhqAJdl9i9458pQ
51,"Piece Of Your Heart",MEDUZA,104821,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
52,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,104571,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
53,Circles,"Post Malone",104225,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
54,"Someone You Loved","Lewis Capaldi",103796,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,Playa,"Baby K",99841,https://open.spotify.com/track/7bBIBrSmHvdMlTC7b9p8Vq
56,"Stay Away (feat. Ketama126, Side Baby & Franco126)","Night Skinny",99685,https://open.spotify.com/track/6oZJl2T2hdHnMYcZR6VJGb
57,"È sempre bello",Coez,98306,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
58,"Polo nord - C+N Progressive Mix","Massimo Pericolo",97250,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh
59,"Cracovia, Pt. 3","Il Tre",97034,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI
60,"HO PAURA DI USCIRE 2 - prod. Mace",MACHETE,96479,https://open.spotify.com/track/0nFCpnM7nistUWXRZpzOWM
61,"Accetto Miracoli","Tiziano Ferro",96354,https://open.spotify.com/track/22wcpWIq8EUqcFoF6wD0gg
62,Wanderlust!,Alfa,95943,https://open.spotify.com/track/5XGRcuFaRKIGd7ruTiJCUj
63,"Rondini Al Guinzaglio",Ultimo,94519,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
64,"Prometto (feat. Rkomi & Luchè)","Night Skinny",94503,https://open.spotify.com/track/35DgCphwTxRkI2jUec0mWA
65,"Fiori (feat. Marracash & Guè Pequeno)",Gemitaiz,92109,https://open.spotify.com/track/0zlAKx6NDKKGWjWJE1AX1S
66,"Vogl Sul A Te",Geolier,90456,https://open.spotify.com/track/4JajIgqHJAV0Neboj76fqG
67,"Karate (feat. Mahmood)",Gemitaiz,88601,https://open.spotify.com/track/2OtQyoZSL78nBC4mUUKMav
68,Rossetto,Random,88575,https://open.spotify.com/track/4nWtDExgGzlOQwxmp5JjUT
69,"I Don't Care (with Justin Bieber)","Ed Sheeran",87550,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
70,Piove,Nayt,86957,https://open.spotify.com/track/0EMhBAtDSKQ4NBT6tgmcY7
71,"Na Catena",Geolier,85481,https://open.spotify.com/track/12gNE8w6BUThTpxG5scIad
72,Pianeti,Ultimo,84254,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
73,"48H (feat. Sfera Ebbasta)",Izi,84050,https://open.spotify.com/track/05mrU7mN3c1822bpY58UBC
74,"Buonanotte Amò","Rocco Hunt",83100,https://open.spotify.com/track/0G9rMKBc4l9Knfd1Sw1cdi
75,"I Tuoi Particolari",Ultimo,82400,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
76,"Street Advisor (feat. Noyz Narcos, Marracash & Capo Plaza)","Night Skinny",82005,https://open.spotify.com/track/6uUpssCxQaQWrlx869314b
77,"Rip RMX (feat. Shiva)","Side Baby",81781,https://open.spotify.com/track/7xwOv1FJd8iqnCoj3BDjpV
78,"Ostia Lido",J-AX,81698,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5
79,"Amo Ma Chi T Sap (feat. MV Killa & Guè Pequeno)",Geolier,80714,https://open.spotify.com/track/57Ae6GvuVqepP8iTqWjzep
80,"Testa tra le nuvole, Pt. 1",Alfa,80685,https://open.spotify.com/track/4q6Cq4aLWeg3fr6ywhJ9dC
81,"Non Dormo Mai (feat. Luchè, Tedua & Generic Animal)",Mecna,79287,https://open.spotify.com/track/6DAq883B9cip8V5RXC5rKU
82,"Mc Drive (feat. Shiva)",MamboLosco,78424,https://open.spotify.com/track/6a2Xgy3nTIHI37bj5RIKqx
83,"Novità (feat. Rkomi, Ernia & Tedua)","Night Skinny",76511,https://open.spotify.com/track/0hkY6Je3FYVPCCLZNtPKhH
84,"Neverland (feat. Marïna, PSICOLOGI, Voodoo Kid & AINÉ)",Mecna,76078,https://open.spotify.com/track/6iCxOvptqg68pRfeMaR4dI
85,90MIN,Salmo,75956,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
86,Cenere,Nashley,75187,https://open.spotify.com/track/45xyKCey4BM3fMeFEsF1Hp
87,"Per Un Milione",Boomdabash,74420,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
88,Ouver2re,Lazza,74241,https://open.spotify.com/track/5c591Ck7sCY0jqsBZgQayy
89,"bad guy","Billie Eilish",74064,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
90,"Sorriso (Milano Dateo)","Calcutta ",73823,https://open.spotify.com/track/6Rg0AJvt1xa4hR2QH2fUhb
