,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ora che ti guardo bene",Gazzelle,317476,https://open.spotify.com/track/25rH6l9UjJaLu4Ckxku8XT
2,"Auto Blu",Shiva,296665,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
3,"Fiori di Chernobyl",Mr.Rain,239391,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
4,"Good Times",Ghali,227421,https://open.spotify.com/track/6GpvHaqp0Yybx9P6YnodRD
5,"Roses - Imanbek Remix","SAINt JHN",200407,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"Blinding Lights","The Weeknd",174356,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,Bando,ANNA,172663,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
8,"death bed (coffee for your head)",Powfu,162104,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
9,"blun7 a swishland","tha Supreme",156528,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
10,"Boogieman (feat. Salmo)",Ghali,154376,https://open.spotify.com/track/10Q5VqDAAbwExYkNha3VKH
11,"Per sentirmi vivo",Fasma,151522,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
12,"Le Feste Di Pablo (con Fedez)",CARA,150590,https://open.spotify.com/track/73x0EIT2YyIxTs3Rpd3n5T
13,Rapide,Mahmood,148775,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
14,"Nena (feat. Geolier & Andry The Hitmaker)","Boro Boro",144468,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
15,"Toosie Slide",Drake,140182,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
16,"Dilemme (with tha Supreme & Mara Sattei)","Lous and The Yakuza",135398,https://open.spotify.com/track/1Whf2ZaesM1gXlU0z3Fslt
17,Tusa,"KAROL G",130286,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
18,"Ringo Starr","Pinguini Tattici Nucleari",129551,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
19,"Dance Monkey","Tones And I",118499,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"Musica (E Il Resto Scompare)","Elettra Lamborghini",110044,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
21,"Snitch E Impicci (con FSK SATELLITE)",DrefGold,107683,https://open.spotify.com/track/6HDdOPc6FWpMfjC8ebzdRC
22,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",107327,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
23,Chega,Gaia,106541,https://open.spotify.com/track/0XdjGLxXQhiPkOqXtAyEZ9
24,Falling,"Trevor Daniel",104230,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
25,"Fai rumore",Diodato,100104,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
26,"Boss Bitch","Doja Cat",98459,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
27,"BRAVI A CADERE - I polmoni",Marracash,97976,https://open.spotify.com/track/3me7fQdjgO8NHscb3xPaBa
28,"fuck 3x","tha Supreme",96956,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
29,"Don't Start Now","Dua Lipa",96073,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
30,Viceversa,"Francesco Gabbani",95923,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
