,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Don't Care (with Justin Bieber)","Ed Sheeran",8970,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
2,"bad guy","Billie Eilish",6982,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
3,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",6042,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
4,"Eastside (with Halsey & Khalid)","benny blanco",4449,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
5,"Talk (feat. Disclosure)",Khalid,4429,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
6,"Homicide (feat. Eminem)",Logic,4312,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
7,"If I Can't Have You","Shawn Mendes",4291,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
8,Wow.,"Post Malone",4253,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
9,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4242,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
10,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",4146,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh
11,SOS,Avicii,3985,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
12,Sucker,"Jonas Brothers",3917,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
13,Happier,Marshmello,3907,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
14,"Dancing With A Stranger (with Normani)","Sam Smith",3718,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
15,"Without Me",Halsey,3647,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
16,"7 rings","Ariana Grande",3478,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
17,"bury a friend","Billie Eilish",3469,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
18,"Sweet but Psycho","Ava Max",3395,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
19,"I Like Me Better",Lauv,3236,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
20,Better,Khalid,3235,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
21,"MIDDLE CHILD","J. Cole",3202,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
22,"Someone You Loved","Lewis Capaldi",3175,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
23,Shallow,"Lady Gaga",3144,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
24,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,3089,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
25,"Old Town Road","Lil Nas X",3032,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
26,Paradise,Bazzi,3011,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
27,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",3006,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
28,"High Hopes","Panic! At The Disco",2760,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
29,"Here With Me",Marshmello,2753,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
30,"This Feeling","The Chainsmokers",2746,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
31,"Piece Of Your Heart",MEDUZA,2705,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
32,"when the party's over","Billie Eilish",2643,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
33,"Don't Call Me Up",Mabel,2639,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
34,"Boy With Luv (feat. Halsey)",BTS,2631,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
35,"3 Nights","Dominic Fike",2630,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
36,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",2623,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
37,"Saturday Nights",Khalid,2611,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
38,Youngblood,"5 Seconds of Summer",2607,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
39,"Walk Me Home",P!nk,2572,https://open.spotify.com/track/6jfEZdUJ2Yla6h7gTJgKuo
40,"i'm so tired...",Lauv,2546,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
41,"Who Do You Love","The Chainsmokers",2474,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
42,"break up with your girlfriend, i'm bored","Ariana Grande",2380,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
43,lovely,"Billie Eilish",2354,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
