,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",3624169,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Life Is Good (feat. Drake)",Future,2716089,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
3,ROXANNE,"Arizona Zervas",1347385,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,BOP,DaBaby,1270887,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
5,"Good News","Mac Miller",1214707,https://open.spotify.com/track/3ClBKQkKoaUQ6UOhe2xlJK
6,Circles,"Post Malone",1130051,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
7,Suicidal,"YNW Melly",1076095,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
8,Yummy,"Justin Bieber",1064662,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
9,"Futsal Shuffle 2020","Lil Uzi Vert",1038908,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
10,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1032092,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
11,Falling,"Trevor Daniel",1017377,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,"Dance Monkey","Tones And I",987431,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,"Ballin' (with Roddy Ricch)",Mustard,986414,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
14,Rare,"Selena Gomez",902357,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
15,"Blinding Lights","The Weeknd",889032,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
16,"everything i wanted","Billie Eilish",866469,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
17,"You should be sad",Halsey,836383,https://open.spotify.com/track/2usxQITOSDqvkYiI0oIwao
18,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,809874,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
19,"Don't Start Now","Dua Lipa",799682,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
20,"Adore You","Harry Styles",795790,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
21,"Sum 2 Prove","Lil Baby",776772,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz
22,"Lose You To Love Me","Selena Gomez",760207,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
23,SUGAR,BROCKHAMPTON,758150,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
24,VIBEZ,DaBaby,730400,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
25,Woah,"Lil Baby",725757,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
26,"hot girl bummer",blackbear,720789,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
27,"My Oh My (feat. DaBaby)","Camila Cabello",716908,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
28,"No Idea","Don Toliver",702389,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
29,"Say So","Doja Cat",700597,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
30,"High Fashion (feat. Mustard)","Roddy Ricch",683913,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
31,Heartless,"The Weeknd",671562,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
32,"OUT WEST (feat. Young Thug)",JACKBOYS,662494,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
33,"HIGHEST IN THE ROOM","Travis Scott",656249,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
34,"Watermelon Sugar","Harry Styles",646671,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
35,"Someone You Loved","Lewis Capaldi",641497,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
36,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",636554,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
37,Memories,"Maroon 5",605912,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
38,"Lucid Dreams","Juice WRLD",568839,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
39,Suge,DaBaby,568381,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
40,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",551704,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
41,Eleven,Khalid,544349,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
42,Robbery,"Juice WRLD",542176,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
43,"bad guy","Billie Eilish",522061,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
44,Tusa,"KAROL G",514326,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
45,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",506463,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
