,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",121357,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"Beautiful People (feat. Khalid)","Ed Sheeran",71903,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
3,"I Don't Care (with Justin Bieber)","Ed Sheeran",57363,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
4,"Goodbyes (Feat. Young Thug)","Post Malone",47636,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
5,"Call You Mine","The Chainsmokers",40240,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
6,"Someone You Loved","Lewis Capaldi",38444,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
7,"Boy With Luv (feat. Halsey)",BTS,35530,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
8,"bad guy (with Justin Bieber)","Billie Eilish",34450,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
9,"It's You","Ali Gatie",31869,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
10,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",30920,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
11,"Antisocial (with Travis Scott)","Ed Sheeran",29724,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
12,"bad guy","Billie Eilish",29572,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,"If I Can't Have You","Shawn Mendes",29301,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
14,"Never Really Over","Katy Perry",28583,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
15,"Find U Again (feat. Camila Cabello)","Mark Ronson",28521,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
16,"You Need To Calm Down","Taylor Swift",26463,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
17,怎麼了,"Eric Chou",25417,https://open.spotify.com/track/2IAumRplFr0Ns09kKgt2je
18,"Kill This Love",BLACKPINK,23587,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
19,"On My Way","Alan Walker",22820,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
20,"Rescue Me",OneRepublic,22384,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
21,"Best Part of Me (feat. YEBBA)","Ed Sheeran",21847,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis
22,Sucker,"Jonas Brothers",21592,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
23,"Sad Forever",Lauv,21330,https://open.spotify.com/track/4a5zacCsHLtMC2mcxkqWwn
24,Easier,"5 Seconds of Summer",20725,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
25,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",20502,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
26,"Speechless (Full)","Naomi Scott",20484,https://open.spotify.com/track/3BBahK6YhmPosOymF45cMu
27,"Falling Like The Stars","James Arthur",20121,https://open.spotify.com/track/15xWRPHQMeqgdkGzInx3PY
28,"i'm so tired...",Lauv,19692,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
29,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",19318,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
30,"Only Human","Jonas Brothers",18812,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
31,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",18141,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
32,Ritual,Tiësto,17872,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
33,"So Am I","Ava Max",17749,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
34,"Post Malone (feat. RANI)","Sam Feldt",17726,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
35,Snapping,"CHUNG HA",17700,https://open.spotify.com/track/7JCi89HGiURxFpr6NITY7q
36,"Dancing With A Stranger (with Normani)","Sam Smith",17677,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
37,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,17455,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
38,Sanctuary,Joji,17374,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3
39,"Remember The Name (feat. Eminem & 50 Cent)","Ed Sheeran",17348,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
40,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,17286,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
41,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",17243,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
42,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",16627,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
43,"Who Do You Love","The Chainsmokers",16458,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
44,FANCY,TWICE,16283,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
45,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,15735,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
46,BIRTHDAY,SOMI,15589,https://open.spotify.com/track/3jsWXhE5NuPWQ4IHplv2zt
47,"Sweet but Psycho","Ava Max",15573,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
48,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲","Eric Chou",15421,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
49,"7 rings","Ariana Grande",15311,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
50,Panini,"Lil Nas X",14901,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
51,如果雨之後,"Eric Chou",14804,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
52,"One Thing Right",Marshmello,14604,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
53,2002,Anne-Marie,14090,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
54,Shallow,"Lady Gaga",14023,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
55,Uh-Oh,(G)I-DLE,14009,https://open.spotify.com/track/1OBb2wZMXKNmtdyyejLIyL
56,告白氣球,"Jay Chou",13732,https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk
57,"Say You Won't Let Go","James Arthur",13616,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
