,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1274158,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Party Girl",StaySolidRocky,1111717,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
3,"Blinding Lights","The Weeknd",962118,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"The Bigger Picture","Lil Baby",957793,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
5,"Blueberry Faygo","Lil Mosey",956441,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
6,"THE SCOTTS","THE SCOTTS",925471,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
7,"WHATS POPPIN","Jack Harlow",849144,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
8,"Watermelon Sugar","Harry Styles",832067,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
9,"The Box","Roddy Ricch",795589,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
10,"Toosie Slide",Drake,786621,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
11,"Rain On Me (with Ariana Grande)","Lady Gaga",727531,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Roses - Imanbek Remix","SAINt JHN",706724,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
13,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",704449,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
14,"After Party","Don Toliver",674042,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
15,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",652415,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
16,"Tommy Lee (feat. Post Malone)","Tyla Yaweh",649840,https://open.spotify.com/track/5QZKcQDp0tCcvMdyqEciBV
17,"Sunday Best",Surfaces,604278,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,"GO (feat. Juice WRLD)","The Kid LAROI",593346,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
19,"death bed (coffee for your head)",Powfu,591938,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,"Intentions (feat. Quavo)","Justin Bieber",584715,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
21,"Life Is Good (feat. Drake)",Future,564684,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
22,GOOBA,6ix9ine,546431,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
23,"Chicago Freestyle (feat. Giveon)",Drake,545628,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
24,Circles,"Post Malone",544303,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
25,"Shotta Flow 5","NLE Choppa",542683,https://open.spotify.com/track/1orjH4IkSH9VrWmRCToKV8
26,"Don't Start Now","Dua Lipa",515147,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
27,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",504152,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
28,ROXANNE,"Arizona Zervas",493591,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
29,"Deep End Freestyle","Sleepy Hallow",493320,https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
30,"Break My Heart","Dua Lipa",491059,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
31,Supalonely,BENEE,490020,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
32,Falling,"Trevor Daniel",485153,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
33,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,484341,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
34,Righteous,"Juice WRLD",483754,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
35,"TROLLZ (with Nicki Minaj)",6ix9ine,482543,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
36,"Stuck with U (with Justin Bieber)","Ariana Grande",482462,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
37,"ROCKSTAR (feat. Roddy Ricch) - BLM REMIX",DaBaby,475411,https://open.spotify.com/track/4Aykm3xrOFSHrAnv80KUhh
38,goosebumps,"Travis Scott",475298,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
39,"Adore You","Harry Styles",469962,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
40,"HIGHEST IN THE ROOM","Travis Scott",453633,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
41,"Lucid Dreams","Juice WRLD",450743,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
42,"Emotionally Scarred","Lil Baby",444696,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
43,Myron,"Lil Uzi Vert",443528,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
44,"Flex (feat. Juice WRLD)","Polo G",438599,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
45,"Ballin' (with Roddy Ricch)",Mustard,434492,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
46,"hot girl bummer",blackbear,431938,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
47,"High Fashion (feat. Mustard)","Roddy Ricch",427480,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
48,"Be Kind (with Halsey)",Marshmello,415382,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
49,"Someone You Loved","Lewis Capaldi",414864,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
50,"SICKO MODE","Travis Scott",412058,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
51,"ily (i love you baby) (feat. Emilee)","Surf Mesa",408609,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
52,P2,"Lil Uzi Vert",396033,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
53,Robbery,"Juice WRLD",394458,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
54,"Make It Rain","Pop Smoke",390437,https://open.spotify.com/track/4TgHt7vKCimpywaiKfl0uj
55,"Before You Go","Lewis Capaldi",388953,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
56,"Turks (with Gunna & ft. Travis Scott)",NAV,384552,https://open.spotify.com/track/7IMwEtpAiJanqF6vQteZN2
57,"Say So","Doja Cat",378368,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
58,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",374843,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
59,"Play Date","Melanie Martinez",372044,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
