,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",13217,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"HIGHEST IN THE ROOM","Travis Scott",8665,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
3,Circles,"Post Malone",8241,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,"Beautiful People (feat. Khalid)","Ed Sheeran",7820,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
5,Memories,"Maroon 5",7455,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,"How Do You Sleep?","Sam Smith",7005,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
7,Señorita,"Shawn Mendes",6697,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,"I Don't Care (with Justin Bieber)","Ed Sheeran",6588,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
9,"Someone You Loved","Lewis Capaldi",6568,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
10,"hot girl bummer",blackbear,5540,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
11,"Lights Up","Harry Styles",5291,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
12,"No Guidance (feat. Drake)","Chris Brown",5140,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
13,"Takeaway (feat. Lennon Stella)","The Chainsmokers",4896,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
14,"Goodbyes (Feat. Young Thug)","Post Malone",4869,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
15,Akulaleki,"Samthing Soweto",4794,https://open.spotify.com/track/73wcFiFeCQurmHDQIcirbm
16,"10,000 Hours (with Justin Bieber)","Dan + Shay",4669,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
17,"Higher Love",Kygo,4487,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
18,Panini,"Lil Nas X",4379,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
19,Saint-Tropez,"Post Malone",4259,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
20,Graveyard,Halsey,4170,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
21,"bad guy","Billie Eilish",4107,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"fuck, i'm lonely",Lauv,4057,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
23,Dames,Biggy,3984,https://open.spotify.com/track/72Yg5qdIqpTnXrNPEewglz
24,"Eastside (with Halsey & Khalid)","benny blanco",3949,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
25,Liar,"Camila Cabello",3906,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
26,"Ride It",Regard,3870,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
27,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3843,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
28,"Call You Mine","The Chainsmokers",3840,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
29,"Truth Hurts",Lizzo,3836,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
30,"You Need To Calm Down","Taylor Swift",3798,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
31,"Piece Of Your Heart",MEDUZA,3728,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
32,"Old Town Road - Remix","Lil Nas X",3671,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
