,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",458336,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
2,"Lençol Dobrado","João Gustavo e Murilo",431100,https://open.spotify.com/track/5pRGXCDY0eT6R1QicAn7Uk
3,Evoluiu,"MC Kevin o Chris",407516,https://open.spotify.com/track/0WhDotK0QXigmsrlw0DxKK
4,"Tijolão - Ao Vivo","Jorge & Mateus",404059,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7
5,"Vou Ter Que Superar - Ao Vivo","Matheus & Kauan",360069,https://open.spotify.com/track/6sRLrSetyIwIKhW1eMlUNP
6,"Uma nora pra cada dia","MC Kevinho",345183,https://open.spotify.com/track/2bbFhnxYjeb9jYEX2MDKLQ
7,Señorita,"Shawn Mendes",341505,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
8,Cobaia,"Lauana Prado",321530,https://open.spotify.com/track/1xyVMQx51Kab6eLVtE6twx
9,"Quando a vontade bater (Participação especial de PK Delas)",Pk,313409,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH
10,"quando a bad bater - ao vivo","Luan Santana",301063,https://open.spotify.com/track/1nVIlX3h3Ds9bH6JMQopIU
11,Milu,"Gusttavo Lima",300519,https://open.spotify.com/track/1nqaSoiLuqevDes4S18sO7
12,"Espaçosa Demais - Ao Vivo","Felipe Araújo",280577,https://open.spotify.com/track/4lEw9Id7kLDSJ6KRdaenM9
13,"Ela É do Tipo","MC Kevin o Chris",276758,https://open.spotify.com/track/2x8TNY9KwNvD19gVGs4WOP
14,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",274550,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
15,"Bebi Liguei - Ao Vivo","Marília Mendonça",259225,https://open.spotify.com/track/3RbXsVQr4jeTxvT35Hssq3
16,"Sentou e Gostou","MC JottaPê",258469,https://open.spotify.com/track/6V43u5SCjkfMpxMAXRPifr
17,"Estado Decadente - Acústico","Zé Neto & Cristiano",255297,https://open.spotify.com/track/4eB8rsNNm5791m3uvEBNLR
18,"Quarta Cadeira - Ao Vivo","Matheus & Kauan",254399,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn
19,"Solteiro Não Trai - Ao Vivo","Gustavo Mioto",253019,https://open.spotify.com/track/7oEr56KG6odStlQH0nvdyr
20,"A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília","Diego & Victor Hugo",245620,https://open.spotify.com/track/4gDvg62vG96w0qJaF6wzcd
21,"Fingindo Maturidade - Ao Vivo","Mano Walter",235287,https://open.spotify.com/track/3tU3UAasaDA9OixXGC3O33
22,"Bebaça - Ao Vivo","Marília Mendonça",231323,https://open.spotify.com/track/6YjyT6MEMsMc41NNWk2dYg
23,"I Don't Care (with Justin Bieber)","Ed Sheeran",230722,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
24,"Poesia Acústica #7: Céu Azul","Pineapple StormTv",226261,https://open.spotify.com/track/2FGhB10Gon36GgFcOTMQEW
25,"Não Abro Mão - Ao Vivo","Maiara & Maraisa",224200,https://open.spotify.com/track/3L2uyIJoJPjYkSETVNSPBQ
26,"Um Pedido","Hungria Hip Hop",219311,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1
27,"Cem Mil - Ao Vivo","Gusttavo Lima",211744,https://open.spotify.com/track/5eMmT4Ava5BGThju0AD8vQ
28,"Onda diferente (feat. Papatinho)",Anitta,208256,https://open.spotify.com/track/2H8ETIUEoN9YMf56X66bxd
29,"Bagunça Minha Vida - Ao Vivo Em Goiânia / 2019","George Henrique & Rodrigo",204638,https://open.spotify.com/track/33g4LmRrWddOvMLnynSktj
30,"Sei Lá",Projota,201080,https://open.spotify.com/track/6l1PdE7lQbodewVQh16GCM
31,"Notificação Preferida - Ao Vivo","Zé Neto & Cristiano",199339,https://open.spotify.com/track/3tA0vALUwrzkTgHcm9j6oJ
32,"Péssimo Negócio (Ao Vivo)",Dilsinho,195022,https://open.spotify.com/track/5MMrkwK6AgNAsgHVdC7daZ
33,"Senta braba","MC WM",193998,https://open.spotify.com/track/2SgVsDXzET5EU8VngMh9dv
34,Infarto,"Diego & Victor Hugo",190438,https://open.spotify.com/track/0XEJ7eph2IWFYZc73Jm3n2
35,"Algo Mais (Amante) - Ao Vivo","Xand Avião",188924,https://open.spotify.com/track/4jGzR5Vri06Y5T9SxM7m5P
36,Garupa,"Luísa Sonza",188649,https://open.spotify.com/track/1HEr5uCRyuuLlVCOB1RiTE
37,"Não sou obrigada",POCAH,187839,https://open.spotify.com/track/0nkDm27DGppCSk8dnGtvPa
38,"Sem Sal - Ao Vivo","Marília Mendonça",175323,https://open.spotify.com/track/0EZuXcsnjEmGuRYdFdcctX
39,"Ouvi Dizer",Melim,173932,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
40,"Atrasadinha - Ao Vivo","Felipe Araújo",168631,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb
41,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",167180,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr
42,"Para, Pensa e Volta - Ao Vivo","Yasmin Santos",164702,https://open.spotify.com/track/2KyXyTrp3kp1Fsg7B1osYD
43,"Vai menina","PEDRO SAMPAIO",163266,https://open.spotify.com/track/1oQppEGTHYN53xfEaTz4ua
44,"Beautiful People (feat. Khalid)","Ed Sheeran",162022,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
45,"Mágica - Ao Vivo","Matheus & Kauan",158027,https://open.spotify.com/track/5cN5ZOVcYBl4Lnq50Zeqsx
46,"Do Copo Eu Vim (feat. Marília Mendonça) - Ao Vivo em Brasília","Diego & Victor Hugo",154019,https://open.spotify.com/track/7sl95MXCpM8WWsaH1BqvR3
47,"Posto 24h (feat. Wesley Safadão) - Ao Vivo","Lucas Lucco",153943,https://open.spotify.com/track/3mNmUjoDHYDYj08IaRPtg0
48,"Faz Gostoso (feat. Anitta)",Madonna,153423,https://open.spotify.com/track/2SC14LGDbRWRlyLg9Wupa0
49,Malemolência,"Dynho Alves",152592,https://open.spotify.com/track/5rwdmpN5eMWIIwK4R96vv1
50,"bad guy","Billie Eilish",152061,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
51,Shallow,"Lady Gaga",147669,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
52,"Hoje Eu Vou Parar Na Gaiola","Mc Livinho",147187,https://open.spotify.com/track/0IQCOAw9ZAI6WnXIrl481F
53,Café,Vitão,146731,https://open.spotify.com/track/6i9ToXS6CAfjpp8veBklg1
54,"Vamos pra Gaiola","MC Kevin o Chris",145878,https://open.spotify.com/track/7FiIQXpIeLo3ITfGGpb8PB
55,"Meu Abrigo",Melim,143335,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
56,"Serenata - Ao Vivo","Marília Mendonça",142530,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
57,"Old Town Road","Lil Nas X",142064,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
58,"Goodbyes (Feat. Young Thug)","Post Malone",140971,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
59,"Ciumeira - Ao Vivo","Marília Mendonça",139480,https://open.spotify.com/track/7D5F5BzIon5zhzQrOU2pdN
60,"7 rings","Ariana Grande",135146,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
61,"Dois Enganados","Murilo Huff",130622,https://open.spotify.com/track/72N0CRIAqjETbhghrkCUW2
62,"Bola Rebola",Tropkillaz,127383,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg
63,"Flor Que Se Cheira - Ao Vivo","Guilherme & Benuto",126922,https://open.spotify.com/track/49pu85144Xir6PgWjeyJhG
64,"Calma - Remix","Pedro Capó",126593,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
65,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",124333,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
66,"Dá preferência pra mim (Participação especial de Gusttavo Lima)","Thiago Brava",124181,https://open.spotify.com/track/3bdjxhq0PqcxNwswCOX6w1
67,"bad guy (with Justin Bieber)","Billie Eilish",123359,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
68,"Conselho - Ao Vivo","Israel & Rodolffo",123151,https://open.spotify.com/track/03Ih0yoTF85crrHUtLUoHF
69,"Deixa (feat. Ana Gabriela)",Lagum,122967,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp
70,Brisa,IZA,121308,https://open.spotify.com/track/5rNNZ6fVYxkhwqUfImVhU1
71,"Apaixonadinha - Ao Vivo","Marília Mendonça",120658,https://open.spotify.com/track/0rUL7vUZmCKxB0gS83W3aM
72,"Piece Of Your Heart",MEDUZA,120487,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
73,"Juras de Amor (Vai Chorar) - Ao Vivo","Wesley Safadão",120238,https://open.spotify.com/track/1a1KuK97CSE29fFqufkheK
74,"Melhor Saída - Ao Vivo","Lauana Prado",120232,https://open.spotify.com/track/704li4NOyKCQY6qNdoEW5n
75,"50 Vezes - Ao Vivo","Sorriso Maroto",120197,https://open.spotify.com/track/01wavOnjFBNgdMWBFYIAP4
76,"Praia do Rosa - Acústico",Oriente,120190,https://open.spotify.com/track/5lYKob6hewwt3dcy5kWMfF
77,"All The Lies",Alok,120056,https://open.spotify.com/track/6PqUdUGS4h5aGY7YyEGXr8
78,"Long Neck - Acústico","Zé Neto & Cristiano",119731,https://open.spotify.com/track/4Lxv5hGnHOUYBVeDgWgcaP
79,"Favela chegou - Ao vivo",Ludmilla,118860,https://open.spotify.com/track/3X4vxzjSiCtmZY2QRumOKW
80,Pupila,ANAVITÓRIA,118833,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk
81,Happier,Marshmello,116766,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
82,Facilita,"MC Kevinho",116046,https://open.spotify.com/track/3wB81eGupHVv9W4mF9IsHh
83,"Bem Pior Que Eu - Ao Vivo","Marília Mendonça",115856,https://open.spotify.com/track/4UANYptjv2kpV6IY7IjXoJ
84,"Espelho Meu - Ao Vivo","Henrique & Diego",115318,https://open.spotify.com/track/4mtHXZBOBMrZSI6jp3X9WJ
85,YoYo,"Gloria Groove",113618,https://open.spotify.com/track/161tk6AjNHvS8LC7Y4MHur
86,"Então Vou Avisar - Ao Vivo","Yasmin Santos",113176,https://open.spotify.com/track/1idjI8gtxgHjy8KyZamY6o
87,"Então Vem Cá - Ao Vivo","Mano Walter",112320,https://open.spotify.com/track/1FIaoiLn0E5ilfE5T0P9xx
88,"Antisocial (with Travis Scott)","Ed Sheeran",109824,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
