,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"How You Like That",BLACKPINK,38314,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",28197,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,Heather,"Conan Gray",25529,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
4,"Stuck with U (with Justin Bieber)","Ariana Grande",24918,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
5,"Before You Go","Lewis Capaldi",24727,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
6,"Be Kind (with Halsey)",Marshmello,23868,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
7,Maria,"Hwa Sa",23427,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
8,"Someone You Loved","Lewis Capaldi",22222,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"Watermelon Sugar","Harry Styles",21779,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
10,"WAP (feat. Megan Thee Stallion)","Cardi B",21351,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,"you broke me first","Tate McRae",20777,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
12,"Blinding Lights","The Weeknd",19941,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,"Smile (with The Weeknd)","Juice WRLD",19508,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
14,cardigan,"Taylor Swift",19384,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
15,"exile (feat. Bon Iver)","Taylor Swift",17867,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
16,Memories,"Maroon 5",17863,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
17,"What You Waiting For",SOMI,17305,https://open.spotify.com/track/4CoxD8tetisleUQDA7vn1B
18,"my future","Billie Eilish",16728,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
19,"death bed (coffee for your head)",Powfu,16522,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,怎麼了,"Eric Chou",16449,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm
21,"Intentions (feat. Quavo)","Justin Bieber",16111,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
22,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,15810,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
23,"NUNU NANA",Jessi,15805,https://open.spotify.com/track/4Bmk7JYOquhWmSMMW4WebM
24,"Dance Monkey","Tones And I",15414,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
25,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,14928,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
26,說好不哭,"Jay Chou",14861,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
27,Señorita,"Shawn Mendes",14828,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
28,"If the World Was Ending - feat. Julia Michaels","JP Saxe",14496,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
29,"Nobody's Love","Maroon 5",14266,https://open.spotify.com/track/3kwgqoBqTwoAH4nT29TYrq
30,"ily (i love you baby) (feat. Emilee)","Surf Mesa",13769,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
31,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲","Eric Chou",13416,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
32,"Laugh Now Cry Later (feat. Lil Durk)",Drake,13182,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
33,"Break My Heart","Dua Lipa",13095,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
34,"Come & Go (with Marshmello)","Juice WRLD",12981,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
35,"Don't Start Now","Dua Lipa",12884,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
36,"Electric Love",BØRNS,12878,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
37,"eight(Prod.&Feat. SUGA of BTS)",IU,12520,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
38,Circles,"Post Malone",12517,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
39,嚣张,En,12131,https://open.spotify.com/track/3t8M86tiO0aKMMTXzRrFn8
40,告白氣球,"Jay Chou",12015,https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk
41,"Go Crazy","Chris Brown",11987,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
42,"Play Date","Melanie Martinez",11903,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
43,"Love Somebody",Lauv,11736,https://open.spotify.com/track/7LEMGMfmJDd1iLsGD9eV5l
44,Mariposa,"Peach Tree Rascals",11693,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
45,"Roses - Imanbek Remix","SAINt JHN",11633,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
46,"Breaking Me",Topic,11446,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
47,"Sour Candy (with BLACKPINK)","Lady Gaga",11418,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
48,"Rain On Me (with Ariana Grande)","Lady Gaga",11331,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
49,"Say You Won't Let Go","James Arthur",11200,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
50,you!,LANY,11013,https://open.spotify.com/track/4lSMKPkbZOAYPw3zxJ2eAF
51,Daylight,Joji,10712,https://open.spotify.com/track/6Ed1q0X8oSKSm4IIhiQbYg
52,Supalonely,BENEE,10548,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
53,"My Oasis (feat. Burna Boy)","Sam Smith",10087,https://open.spotify.com/track/2KoHxhRyWxJzA0VafWd5Nk
54,"Beautiful People (feat. Khalid)","Ed Sheeran",9989,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
55,"DUMDi DUMDi",(G)I-DLE,9948,https://open.spotify.com/track/2fJ70dRX7J4jiVxKUQQp7C
56,supercuts,"Jeremy Zucker",9786,https://open.spotify.com/track/4PyMK7JTcu6l30D8KogokR
57,你的答案,阿冗,9706,https://open.spotify.com/track/4QWSICaQ6LGmcS8qX9lNVh
58,"MORE & MORE",TWICE,9651,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg
59,那些你很冒險的夢,"JJ Lin",9540,https://open.spotify.com/track/5kZDxLcbqglZ2yYXg4Mkjc
60,如果雨之後,"Eric Chou",9537,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
61,小幸運,"Hebe Tien",9531,https://open.spotify.com/track/1ZeVIrCWzEmsJexkrgvjFv
62,"Kill This Love",BLACKPINK,9442,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
63,"10,000 Hours (with Justin Bieber)","Dan + Shay",9429,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
64,"Stunnin' (feat. Harm Franklin)","Curtis Waters",9411,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
65,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,9405,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
66,"Kings & Queens","Ava Max",9386,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
67,"I Like Me Better",Lauv,9368,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
68,BOY,TREASURE,9344,https://open.spotify.com/track/6SqOpxXMMS8axhJoqz8Nel
69,"Boy With Luv (feat. Halsey)",BTS,9332,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
70,Easy,"Troye Sivan",9289,https://open.spotify.com/track/3gwoz4xZuye0agjYgrC2je
71,"comethru (bonus track)","Jeremy Zucker",9200,https://open.spotify.com/track/1pV9TLnQdOHbvourRO7x4m
72,2002,Anne-Marie,9150,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
73,Perfect,"Ed Sheeran",9027,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
74,"Wishing Well","Juice WRLD",8998,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
75,"真的傻 (電影《一吻定情》追愛版主題曲)","LaLa Hsu",8951,https://open.spotify.com/track/7mCr6Rn5jx04Fisvts97Z3
76,Funny,Zedd,8903,https://open.spotify.com/track/4FYbo4yQzu3hGkj2Ix4ucW
77,"if this is the last time",LANY,8891,https://open.spotify.com/track/2ccNaerby1wXA993dY6XsR
78,你的酒馆对我打了烊,"Shirley Chen",8879,https://open.spotify.com/track/6BL2V0CvfW9QVHm9oU4Lmk
79,绿色,"Shirley Chen",8848,https://open.spotify.com/track/6ZoJngyuPof3KsFhFKA5P5
80,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",8739,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
81,Psycho,"Red Velvet",8710,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
