,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",753141,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
2,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",659349,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
3,"Litrão - Ao Vivo","Matheus & Kauan",545207,https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg
4,"Graveto - Ao Vivo","Marília Mendonça",527388,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
5,SENTADÃO,"PEDRO SAMPAIO",506689,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
6,"Rave de Favela (feat. BEAM)","Major Lazer",493199,https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej
7,"S de Saudade","Luíza & Maurílio",487053,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
8,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",469560,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
9,"Tudo Ok","Thiaguinho MT",468850,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
10,"Cheirosa - Ao Vivo","Jorge & Mateus",457653,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
11,"Vem Me Satisfazer","MC Ingryd",431427,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
12,"3 Batidas - Ao Vivo","Guilherme & Benuto",414468,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
13,Amoreco,"Simone & Simaria",402573,https://open.spotify.com/track/15Dl8e6gdR0I1IQn0M4SGi
14,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",400779,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
