,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
51,"Kings & Queens","Ava Max",94798,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
52,"Roses - Imanbek Remix","SAINt JHN",91105,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
53,"In Your Eyes","The Weeknd",88018,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
54,"LA ISLA","Giusy & Elettra",87703,https://open.spotify.com/track/0T1QQTMx8jTbtOEeBKe43I
55,"Buongiorno - feat. G-CREW","Gigi D'Alessio",86976,https://open.spotify.com/track/18rHhuIUwxXh3SdsBv6oM9
56,"Jerusalema (feat. Nomcebo Zikode) - Edit","Master KG",85085,https://open.spotify.com/track/2R7gA9dAHTjASKU0wiTJok
57,Moncler,Geolier,82578,https://open.spotify.com/track/4QHaWdrl7bdAhz72rb36rO
58,"2 TIRI (feat. tha Supreme)",Lazza,80442,https://open.spotify.com/track/3TwMhXQ6O1KGPfiYV5mxGN
59,"Una volta ancora (feat. Ana Mena)","Fred De Palma",80308,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
60,"Fiori di Chernobyl",Mr.Rain,79699,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
61,"SLIME (feat. Rondodasosa)",Lazza,78544,https://open.spotify.com/track/13Iu4OXlnP5vUQ0rgXR6e3
62,Chega,Gaia,76943,https://open.spotify.com/track/76w5oLSdgYvA0Bt4dTUe0Z
63,Hawái,Maluma,76470,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
64,"Polvere (feat. Capo Plaza)",Tedua,75640,https://open.spotify.com/track/0ZzXPo0gS5h718w7WErG44
65,"TKN (feat. Travis Scott)",ROSALÍA,74716,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
66,"Blinding Lights","The Weeknd",74164,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
67,"Rain On Me (with Ariana Grande)","Lady Gaga",73050,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
68,Tusa,"KAROL G",73000,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
69,"Laugh Now Cry Later (feat. Lil Durk)",Drake,72615,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
