,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Oh Juliana",Niack,1059960,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
2,"Investe Em Mim","Jonas Esticado",722124,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
3,"Desce Pro Play (PA PA PA)","Mc Zaac",688898,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
4,"Na Raba Toma Tapão",Niack,602547,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
5,"Volta por Baixo - Ao Vivo","Henrique & Juliano",575845,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
6,Ranking,"Jorge & Mateus",534132,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
7,"Quero Você do Jeito Que Quiser","Marília Mendonça",529381,https://open.spotify.com/track/51uXmhqGR76tT2UeKZyeN6
8,"Sogra - Ao Vivo",Dilsinho,527003,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
9,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",523788,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
10,"Vai Ter Que Aguentar","Mc Don Juan",505397,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
11,"Tudo Aconteceu","MC Du Black",485553,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
12,"Graveto - Ao Vivo","Marília Mendonça",478809,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
13,"Litrão - Ao Vivo","Matheus & Kauan",475411,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
14,"Comprei um Lança","Mc Jacare",470817,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
15,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",467059,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
16,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",456341,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
17,"Nem Doeu - Ao Vivo","Matheus & Kauan",455098,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
18,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",434362,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
19,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",433904,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
20,"Te Prometo","Dennis DJ",427540,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
21,"S de Saudade","Luíza & Maurílio",421054,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
22,"Desejando Eu (Ao Vivo)","Murilo Huff",412266,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
23,"Deus é por nós","MC Marks",406918,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
24,"Viva Voz - Ao Vivo","Lauana Prado",401375,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
25,Flores,Vitão,391573,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
26,"Tá Rocheda","Os Barões Da Pisadinha",386497,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
27,BRABA,"Luísa Sonza",375461,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
28,Talarica,"Rennan da Penha",365904,https://open.spotify.com/track/01mKvmXQLhr3MEoiAEAcP2
29,"Despedida - Ao Vivo","Wesley Safadão",362692,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
30,"Briga Feia - Ao Vivo","Henrique & Juliano",350745,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk
31,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer (Ao Vivo)","Grupo Menos É Mais",350430,https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59
32,"Libera Ela - Ao Vivo","Maiara & Maraisa",350413,https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql
33,"Não Vai Embora",Dilsinho,343203,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
34,"Recairei - Ao Vivo","Os Barões Da Pisadinha",342607,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
35,"Não Valeu","Wesley Safadão",341990,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud
36,TOMA,"Luísa Sonza",334627,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg
37,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",325981,https://open.spotify.com/track/23zmMwD99ROi9yhxqMxWil
38,"Watermelon Sugar","Harry Styles",316910,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
39,"Mentira - Ao Vivo","Felipe Araújo",316717,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1
40,"Rave do Papa - Deluxe (feat. Mc Rennan, MC Bruna Alves, MC BN & MC Rick) - Remix","Dj W-Beatz",315145,https://open.spotify.com/track/59CnMc5PR9GdDFEVOpHSg9
41,"Cheirosa - Ao Vivo","Jorge & Mateus",314878,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
42,"Saudade Sua","Gusttavo Lima",312793,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi
43,"menina solta","Giulia Be",279987,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
44,"se essa vida fosse um filme","Giulia Be",274219,https://open.spotify.com/track/0hDphSo7vI7gCjEPpD6gu0
45,"Vira Homem","Marília Mendonça",271671,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ
46,"Roses - Imanbek Remix","SAINt JHN",269774,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
47,"Blinding Lights","The Weeknd",257990,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
48,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",256224,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0
49,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",250506,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
50,"Figurinha - Ao Vivo","Douglas & Vinicius",248812,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
51,"Pipa Voada (feat. Emicida)",Rashid,246642,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi
52,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",244724,https://open.spotify.com/track/2Ou6UYuUbNyqwXxRDSeFRf
53,"Don't Start Now","Dua Lipa",244720,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
54,"Supera - Ao Vivo","Marília Mendonça",240673,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
55,"3 Batidas - Ao Vivo","Guilherme & Benuto",235403,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
56,"Midnight Sky","Miley Cyrus",230195,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
57,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",229242,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
58,"Basta Você Me Ligar (feat. Xand Avião) - Ao Vivo","Os Barões Da Pisadinha",226377,https://open.spotify.com/track/3AV1KI22k1jGMz792lDrj1
59,SENTADÃO,"PEDRO SAMPAIO",207228,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
60,"Então Toma - Ao Vivo","Matheus & Kauan",206569,https://open.spotify.com/track/5yaXBGNko8lmFSOvKWo99j
61,"BALANÇA (feat. Pedro Sampaio)","WC no Beat",204286,https://open.spotify.com/track/4p8pEdPYOQLzJUKYrLOacy
62,"Xereca de Mel","Shevchenko e Elloco",202105,https://open.spotify.com/track/3csAhPJlNeCDnvuTdT8RQw
63,"Manda Áudio","Di Propósito",195975,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84
64,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",194388,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI
65,"WAP (feat. Megan Thee Stallion)","Cardi B",191581,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
66,"Amor de Fim de Noite",Orochi,190459,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J
67,"Pode Sumir","Luíza & Maurílio",187631,https://open.spotify.com/track/5OzvtpasMB3aPWpfVr0PsA
68,"Dance Monkey","Tones And I",186465,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
69,"Relógio Parado (Ao Vivo)","Diego & Arnaldo",182505,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw
70,"Textão - Ao Vivo","Zé Neto & Cristiano",179685,https://open.spotify.com/track/2uhBCMHwS3SATOHIgM2KPF
71,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",176262,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg
72,"Tchau Brigado - Ao Vivo","Humberto & Ronaldo",174831,https://open.spotify.com/track/2TR917wkDeRvwTE5cSfZFf
73,"Certo e Duvidoso (feat. Gaab) - Ao Vivo","Marcos & Belutti",173756,https://open.spotify.com/track/7ArNH109yIfwIquJ535fsi
74,"E Nós Tem um Charme Que É da Hora","Mc Dricka",172626,https://open.spotify.com/track/4koUrXFuoId1b6wrMF3laS
75,"Te gusta","MC Kevinho",170359,https://open.spotify.com/track/0h5iRD8nlDtcn4rwbZzNgg
76,"Serenata - Ao Vivo","Marília Mendonça",170132,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
77,"SEM LIMITES","WC no Beat",167048,https://open.spotify.com/track/0DWUfq7vSAArkz82XHnuGm
78,"Cabeça Voando","Os Barões Da Pisadinha",166681,https://open.spotify.com/track/6wDzwmywQ2X8O0FN1IQGol
79,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",163762,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
80,Chupadinha,"Os Barões Da Pisadinha",162954,https://open.spotify.com/track/0BVRi6cizWdDrLRmKI0qsw
81,"death bed (coffee for your head)",Powfu,162518,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
82,"Vem Me Satisfazer","MC Ingryd",162000,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
