,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,12221,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
2,"Blinding Lights","The Weeknd",11239,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"THE SCOTTS","THE SCOTTS",10849,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
4,"Roses - Imanbek Remix","SAINt JHN",10225,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,10102,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
6,"Life Is Good (feat. Drake)",Future,9710,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
7,ZOL,"Max Hurrell",9169,https://open.spotify.com/track/1XtgF9N4G9xDiYiVfu3cID
8,"The Box","Roddy Ricch",8794,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
9,"Blueberry Faygo","Lil Mosey",8169,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
10,"Stuck with U (with Justin Bieber)","Ariana Grande",7382,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
11,"Intentions (feat. Quavo)","Justin Bieber",6879,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,"Don't Start Now","Dua Lipa",6799,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
13,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",6675,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
14,"Dance Monkey","Tones And I",6639,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,"Solitaires (feat. Travis Scott)",Future,6555,https://open.spotify.com/track/4kfeRwpq5KUaqTkgi4TbDF
16,Circles,"Post Malone",6533,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"death bed (coffee for your head)",Powfu,6299,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
18,Falling,"Trevor Daniel",6139,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
19,GOOBA,6ix9ine,5795,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
20,"You're the One",Elaine,5756,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
21,"Someone You Loved","Lewis Capaldi",5650,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"Lose Somebody",Kygo,5599,https://open.spotify.com/track/7xbWAw3LMgRMn4omR5yVn3
23,"WHATS POPPIN","Jack Harlow",5540,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
24,"Chicago Freestyle (feat. Giveon)",Drake,5481,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
25,"Be Kind (with Halsey)",Marshmello,5467,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
26,"Say So (feat. Nicki Minaj)","Doja Cat",5378,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
