,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,688077,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
2,"HO PAURA DI USCIRE 2 - prod. Mace",MACHETE,476165,https://open.spotify.com/track/0nFCpnM7nistUWXRZpzOWM
3,"MARYLEAN (feat. Marracash) - prod. Low Kidd",MACHETE,474657,https://open.spotify.com/track/28fRkU3vhqAJdl9i9458pQ
4,"Una volta ancora (feat. Ana Mena)","Fred De Palma",402033,https://open.spotify.com/track/6gaeewGjNiQhWOUkWRSLTa
5,"Dove e quando","Benji & Fede",389160,https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h
6,Señorita,"Shawn Mendes",377014,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
7,JAMBO,"Takagi & Ketra",365631,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
8,Lento,"Boro Boro",364594,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
9,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",349302,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
10,"Mambo Salentino",Boomdabash,333500,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
11,"Ostia Lido",J-AX,331462,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5
12,"STAR WARS - prod. Young Miles - Crookers x Nic Sarno",MACHETE,293179,https://open.spotify.com/track/2umL0eO9N7iNxDay6i2rVi
13,"NO WAY (feat. Nitro) - prod. Low Kidd",MACHETE,279899,https://open.spotify.com/track/2gUn6S1SuuXK0BvypPKnir
14,"MAMMASTOMALE (feat. Salmo) - prod. Dade",MACHETE,272989,https://open.spotify.com/track/5nFX29WZIulql4m4ic0KRw
15,"Look Back at It (feat. CAPO PLAZA)","A Boogie Wit da Hoodie",268652,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G
16,Playa,"Baby K",262174,https://open.spotify.com/track/7bBIBrSmHvdMlTC7b9p8Vq
17,"Piece Of Your Heart",MEDUZA,247896,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
18,"Loco Contigo (with J. Balvin & Tyga)","DJ Snake",236724,https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo
19,"IO PUO' (feat. Salmo) - prod. Low Kidd",MACHETE,230605,https://open.spotify.com/track/2zVawCwOXmkr5pFw5O6MoB
20,"Cin Cin",Alfa,221169,https://open.spotify.com/track/4GoLVIAplQyplhitHFabfy
21,"DOPPIOGANG - prod. tha Supreme",MACHETE,216558,https://open.spotify.com/track/2nKUtJ6G05qVViRaXkXWQZ
22,"I Don't Care (with Justin Bieber)","Ed Sheeran",213160,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
23,Arrogante,Irama,206632,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
24,"La hit dell'estate",Shade,193864,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
25,"GANG! - prod. Strage",MACHETE,193636,https://open.spotify.com/track/1ZCzbEj3F8SqqtKSupWaBo
26,"BUD SPENCER - prod. Dade - Low Kidd - Salmo",MACHETE,187290,https://open.spotify.com/track/46HYFOcfvg2W8a8FccaRvO
27,"bad guy","Billie Eilish",185366,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
28,"Veleno 7",Gemitaiz,176051,https://open.spotify.com/track/3fV9z98dnQLSIPIMMJXCm7
29,"WALTER WALZER - prod. Salmo",MACHETE,175419,https://open.spotify.com/track/76OIEsiXVKhoaVLQZifKjF
30,"Maradona y Pelé",Thegiornalisti,169424,https://open.spotify.com/track/3xALgUxUFNYIrbMew1sbnC
31,"SUGAR - prod. Low Kidd - Salmo",MACHETE,165982,https://open.spotify.com/track/5yD4Ji9FAZrthZNKsRqaA2
32,"Corazón Morado (feat. Sfera Ebbasta)","Elettra Lamborghini",164959,https://open.spotify.com/track/6stctriNY7UC7KyHcG7ZBH
33,"Someone You Loved","Lewis Capaldi",161955,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
34,"Margarita (con Marracash)",Elodie,158858,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b
35,"Con Calma","Daddy Yankee",158349,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
36,"Te Robaré","Nicky Jam",157000,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
37,"So cosa fare","Capo Plaza",148132,https://open.spotify.com/track/2bN0p91LZmBKmgmpIGu5RI
38,"FQCMP (feat. Salmo) - prod. Low Kidd",MACHETE,146623,https://open.spotify.com/track/7ie4FrP174mREuo5uhlzmP
39,Domenica,Coez,137223,https://open.spotify.com/track/2tVNMtgZ2CQpTx7vgcuTkL
40,"Vivere Tutte Le Vite - con Carl Brave",Elisa,126898,https://open.spotify.com/track/7l56nY7NMP1QDdWvRdJmmg
41,"KEN SHIRO - prod. tha Supreme",MACHETE,126671,https://open.spotify.com/track/741i2EuMZ9JWXEVNEpus8e
42,"È sempre bello",Coez,126113,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
43,m8nstar,"tha Supreme",122359,https://open.spotify.com/track/5Aw0QmDZJZID69ZcTvEzXI
44,"Rondini Al Guinzaglio",Ultimo,122160,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
45,"Old Town Road","Lil Nas X",120487,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
46,"48H (feat. Sfera Ebbasta)",Izi,113273,https://open.spotify.com/track/05mrU7mN3c1822bpY58UBC
47,Narcos,Geolier,112921,https://open.spotify.com/track/5ARhG6eeHv9QifsCP03E7Y
48,"Per Un Milione",Boomdabash,112587,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
49,"Beautiful People (feat. Khalid)","Ed Sheeran",111982,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
50,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,110221,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
51,"MACHETE BO$$ (feat. Nitro) - prod. Kanesh",MACHETE,109865,https://open.spotify.com/track/0JlZqiWJ3zjIUA75MTpiWK
52,"GOKU - prod. Sick Luke",MACHETE,107976,https://open.spotify.com/track/3GVbkUcfSmyjNsPEYuj2xF
53,"Calma - Remix","Pedro Capó",105239,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
54,"I Tuoi Particolari",Ultimo,104229,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
55,Loco,"Lele Blade",102627,https://open.spotify.com/track/7hgyYHFOV2qrSub0hoezte
56,"ORANGE GULF (feat. Jack The Smoker) - prod. Salmo",MACHETE,100876,https://open.spotify.com/track/0lAu8T3mmYcflgA8nSCc3m
57,Mademoiselle,"Sfera Ebbasta",99339,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c
58,"I Love You",Ghali,97759,https://open.spotify.com/track/7GOFNyZcCTwm1SsC5jOFpA
59,"Rescue Me",OneRepublic,97688,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
60,"Piccola Stella",Ultimo,96260,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
61,"Contra La Pared","Sean Paul",95286,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
62,"Goodbyes (Feat. Young Thug)","Post Malone",95128,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
63,"Senza Pensieri (feat. Loredana Bertè & J-AX)","Fabio Rovazzi",93812,https://open.spotify.com/track/1p9E8WC4aTSzArtqdQI1F5
64,"skit FREESTYLE - prod. Strage",MACHETE,93650,https://open.spotify.com/track/4qNHjcpoYbeAaLEeS0gMIV
65,"Sorriso (Milano Dateo)","Calcutta ",91531,https://open.spotify.com/track/6Rg0AJvt1xa4hR2QH2fUhb
66,"Taki Taki","Dark Polo Gang",91208,https://open.spotify.com/track/5NF5Y4xv0tnTJFJgrqbA5o
67,Pianeti,Ultimo,90323,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
68,Ipocondria,Ultimo,90255,https://open.spotify.com/track/6YrDRkcDktxgsPcH8x77xm
69,"Don't Call Me Up",Mabel,89407,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
70,Callaita,"Bad Bunny",88552,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
71,HP,Maluma,88458,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
72,"SCACCIACANI - feat. Massimo Pericolo - prod. Crookers & Nic Sarno",Ketama126,88449,https://open.spotify.com/track/2665YLaM0dLaIhkjpUHT7k
73,"Baila Baila Baila",Ozuna,87963,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
74,"Pensare Male (con Elodie)","The Kolors",87628,https://open.spotify.com/track/0vUhEAJIaTGqBJfDsOZoNt
75,"Adan y Eva","Paulo Londra",85950,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
76,Soldi,Mahmood,85904,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
77,Elisir,Tedua,83632,https://open.spotify.com/track/7sbVjYS23l02aoYoUsKSbQ
78,Panamera,NDG,83044,https://open.spotify.com/track/0Zvdpp7GLZYT3OVtx4myHl
79,"Stamm Fort (feat. Sfera Ebbasta)",Luche,82909,https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD
80,90MIN,Salmo,80017,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
81,Parliamo,Luche,80016,https://open.spotify.com/track/2O2wjjBU0BB0OOA3dCOOfr
82,"Cascare nei tuoi occhi",Ultimo,78991,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
83,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",78609,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
84,"Muhammad Ali","Marco Mengoni",77393,https://open.spotify.com/track/0Es6eMldAFrmVs0QCOlIay
85,"Mancavi tu","Peppe Soks",75610,https://open.spotify.com/track/21EqFEy8L8Db6aaPmIQd9E
86,Lalala,Y2K,73905,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
87,"Nuova Era (with Dardust)",Jovanotti,70968,https://open.spotify.com/track/3HoYNJMxEgTLKiMXjXeHjs
88,"Ti dedico il silenzio",Ultimo,70512,https://open.spotify.com/track/6GLmGfALwjzCaOiHwgfU7g
89,Polynesia,Gazzelle,70224,https://open.spotify.com/track/2QeCyjLDJ6qDJsCyofrEW9
90,"D'estate non vale (feat. Ana Mena)","Fred De Palma",69366,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy
91,"Rip RMX (feat. Shiva)","Side Baby",69191,https://open.spotify.com/track/7xwOv1FJd8iqnCoj3BDjpV
92,"Senza Di Me (feat. Venerus & Franco126)",Gemitaiz,68044,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
93,"oh 9od","tha Supreme",67436,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr
94,"2% (feat. Frah Quintale)","Guè Pequeno",67361,https://open.spotify.com/track/5ODlTG5qxhCsC05E36Rv25
95,"Antisocial (with Travis Scott)","Ed Sheeran",66538,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
96,Heaven,Avicii,65164,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
97,"Bad Liar","Imagine Dragons",64219,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
98,"Sogni appesi",Ultimo,63632,https://open.spotify.com/track/2HgBmx6tfhRO417ahshpeQ
99,"Otro Trago",Sech,63373,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
100,"Soltera - Remix",Lunay,62390,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
101,"Mon Cheri (feat. Sfera Ebbasta)",Rkomi,61771,https://open.spotify.com/track/66UkKyxN5YbJl9z7YamQOR
102,Nera,Irama,61220,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
103,"Visti Dall'Alto (feat. Dardust)",Rkomi,60437,https://open.spotify.com/track/50Im1CDeBfRbJUPacCEIOS
104,"Veleno 6",MadMan,60100,https://open.spotify.com/track/7GfXjqXD9aBvDoBdZ7EwPH
105,"Sex On The Beach","Dark Polo Gang",59900,https://open.spotify.com/track/3xKe1DOJinKfVTZyuHjFWz
106,"Uno squillo","Capo Plaza",59656,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
107,"Te Soñé De Nuevo",Ozuna,59444,https://open.spotify.com/track/5s8LepdwU0THzpd0M7nLsa
108,"Fuoco e benzina","Emis Killa",58518,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc
109,"Non Abbiamo Età",Luche,57560,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3
110,"Never Really Over","Katy Perry",57508,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
