,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"blun7 a swishland","tha Supreme",1283500,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
2,"fuck 3x","tha Supreme",855966,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
3,"sw1n6o - feat. Salmo","tha Supreme",832538,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
4,"come fa1","tha Supreme",808598,https://open.spotify.com/track/5tlRHNdTy4la5CuTkbYeQE
5,2ollipop,"tha Supreme",741991,https://open.spotify.com/track/5nL0vuUo0oBm26obUe5Ogu
6,"occh1 purpl3 - feat. Marracash","tha Supreme",708879,https://open.spotify.com/track/7gRPkCEa3YMaxET5ZYT7Ni
7,"m12ano - feat. Mara Sattei","tha Supreme",673655,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
8,"no14 - feat. Dani Faiv","tha Supreme",655849,https://open.spotify.com/track/7KksdXBhdufqWDxGxyt4I7
9,"gua10 - feat. Lazza","tha Supreme",644257,https://open.spotify.com/track/5Bjp0v6Pi3AS8PzZQG2nrg
10,"parano1a k1d - feat. Fabri Fibra","tha Supreme",641433,https://open.spotify.com/track/2lcX7to2eZFOkVCJjSwdAz
11,"6itch remix - feat. Nitro","tha Supreme",622526,https://open.spotify.com/track/5zYSf28jARgmMwk8FIaHnI
12,"pers0na2 - feat. Gemitaiz, Madman","tha Supreme",614541,https://open.spotify.com/track/75UNZ7tjYzsoTMgmpWdzw6
13,"ch1 5ei te","tha Supreme",585125,https://open.spotify.com/track/0tRj4m46GRFrBS7IsbS0Gk
14,scuol4,"tha Supreme",535795,https://open.spotify.com/track/1V7hvLe3fpZTMoqKLkBDgW
15,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,525978,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
16,"8rosk1 - feat. Mahmood","tha Supreme",521174,https://open.spotify.com/track/65OaFb3aPqlknH4WQXzHtF
17,m8nstar,"tha Supreme",492641,https://open.spotify.com/track/3vPXCd0uNm66sbDEDG5Vwd
18,"7rapper ma1","tha Supreme",479407,https://open.spotify.com/track/4B8LIsJKpPyBbuSEQE6i41
19,"bubb1e 9um","tha Supreme",447403,https://open.spotify.com/track/06SzxHiKstZ859RmekMlJx
20,"oh 9od - feat. Nayt","tha Supreme",434908,https://open.spotify.com/track/5Qy9jtZdxUnFXmgPp3u5VZ
21,5olo,"tha Supreme",425736,https://open.spotify.com/track/1IenHo9pFzeysdcfbpAXUO
22,"CRUDELIA - I nervi",Marracash,404068,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
23,"Dance Monkey","Tones And I",402508,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
24,Flashback,Ghali,326380,https://open.spotify.com/track/0brdfMwwi0kQKFuW1UtiPx
25,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",317980,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
26,"RITMO (Bad Boys For Life)","Black Eyed Peas",283828,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
27,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",257850,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
28,"MADAME - L'anima (feat. Madame)",Marracash,233704,https://open.spotify.com/track/2wL96n9ToLGhekNTFrPhxj
29,"BRAVI A CADERE - I polmoni",Marracash,225810,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
30,Chiasso,Random,222416,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
31,"Non Avere Paura","Tommaso Paradiso",211721,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
32,Bossoli,Shiva,196837,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
33,"Gigolò (feat. Sfera Ebbasta & Capo Plaza)",Lazza,196780,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
34,"Una volta ancora (feat. Ana Mena)","Fred De Palma",195631,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
35,"APPARTENGO - Il sangue (feat. Massimo Pericolo)",Marracash,194646,https://open.spotify.com/track/2tpfOljBdskx8G331TjRps
36,Barrio,Mahmood,192358,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
37,"QUELLI CHE NON PENSANO - Il cervello (feat. Coez)",Marracash,191315,https://open.spotify.com/track/6l1Jnqfu7GAOV4MDgA2bNP
38,"Twerk (con Boro Boro)",MamboLosco,186741,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
39,"QUALCOSA IN CUI CREDERE - Lo scheletro (feat. Guè Pequeno)",Marracash,178388,https://open.spotify.com/track/39hRcGieqFaKfZ7LN91Vy5
40,"everything i wanted","Billie Eilish",173806,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
