,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MORE & MORE",TWICE,29589,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg
2,"Stuck with U (with Justin Bieber)","Ariana Grande",27285,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
3,"Rain On Me (with Ariana Grande)","Lady Gaga",23753,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
4,"Sour Candy (with BLACKPINK)","Lady Gaga",23682,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
5,"Blinding Lights","The Weeknd",23114,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"eight(Prod.&Feat. SUGA of BTS)",IU,23080,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
7,"Be Kind (with Halsey)",Marshmello,22317,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
8,"Someone You Loved","Lewis Capaldi",22209,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"death bed (coffee for your head)",Powfu,21656,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
10,"Don't Start Now","Dua Lipa",21256,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
11,"Intentions (feat. Quavo)","Justin Bieber",20166,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Mojito,"Jay Chou",19993,https://open.spotify.com/track/7BYMjh3vWnHU4IFyfZdIDO
13,"Play Date","Melanie Martinez",19782,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
14,Memories,"Maroon 5",19634,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
15,"ily (i love you baby) (feat. Emilee)","Surf Mesa",19175,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
16,"Before You Go","Lewis Capaldi",18427,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
17,"Roses - Imanbek Remix","SAINt JHN",18242,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
18,Supalonely,BENEE,17694,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
19,"Break My Heart","Dua Lipa",17598,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
20,說好不哭,"Jay Chou",16853,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
21,"Dance Monkey","Tones And I",16557,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
22,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,16494,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
23,怎麼了,"Eric Chou",16188,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm
24,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,16176,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
25,"Toosie Slide",Drake,16123,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
26,"Watermelon Sugar","Harry Styles",16036,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,"If the World Was Ending - feat. Julia Michaels","JP Saxe",15444,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
28,Señorita,"Shawn Mendes",14969,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
29,Circles,"Post Malone",14908,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
30,"Blueberry Faygo","Lil Mosey",14813,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
31,"Lose Somebody",Kygo,14376,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
32,"Party Girl",StaySolidRocky,14324,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
33,告白氣球,"Jay Chou",13119,https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk
34,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲","Eric Chou",12662,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
35,Falling,"Trevor Daniel",12379,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
36,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,12249,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
37,"IDK You Yet","Alexander 23",12001,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
38,"10,000 Hours (with Justin Bieber)","Dan + Shay",11871,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
39,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",11566,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
40,"Boy With Luv (feat. Halsey)",BTS,11430,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
41,"Say So","Doja Cat",11324,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
42,WANNABE,ITZY,11229,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
43,"Sunday Best",Surfaces,11150,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
44,"Say You Won't Let Go","James Arthur",10983,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
45,"LATHI (ꦭꦛꦶ)","Weird Genius",10774,https://open.spotify.com/track/7ksK7gpPDFdY4JLHr1hKfY
46,ROXANNE,"Arizona Zervas",10598,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
47,"Savage Love (Laxed - Siren Beat)","Jawsh 685",10504,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
48,"Beautiful People (feat. Khalid)","Ed Sheeran",10411,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
49,2002,Anne-Marie,10133,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
50,"I Like Me Better",Lauv,10106,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
51,"真的傻 (電影《一吻定情》追愛版主題曲)","LaLa Hsu",9907,https://open.spotify.com/track/7mCr6Rn5jx04Fisvts97Z3
52,嚣张,En,9872,https://open.spotify.com/track/3t8M86tiO0aKMMTXzRrFn8
53,"The Box","Roddy Ricch",9814,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
54,小幸運,"Hebe Tien",9724,https://open.spotify.com/track/1ZeVIrCWzEmsJexkrgvjFv
55,"Modern Loneliness",Lauv,9588,https://open.spotify.com/track/1eyek0KJEh2v5HQ9uQSybb
56,"Secret Story of the Swan",IZ*ONE,9568,https://open.spotify.com/track/3FARQP8fA49bSsTWjNyWmY
57,"Mean It",Lauv,9519,https://open.spotify.com/track/3uc8AGNL0KbvISIrjnfRvN
58,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",9370,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
59,如果雨之後,"Eric Chou",9343,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
60,那些你很冒險的夢,"JJ Lin",9260,https://open.spotify.com/track/5kZDxLcbqglZ2yYXg4Mkjc
61,"Boss Bitch","Doja Cat",9215,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
62,"comethru (bonus track)","Jeremy Zucker",9135,https://open.spotify.com/track/1pV9TLnQdOHbvourRO7x4m
63,年少有為,"Ronghao Li",9038,https://open.spotify.com/track/6XY80Ofqd8j0SGiEdRLwCp
64,"Say So (feat. Nicki Minaj)","Doja Cat",8989,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
65,等你下課,"Jay Chou",8952,https://open.spotify.com/track/76WthWB0v0KXUHZoAclMVV
66,"Can We Kiss Forever?",Kina,8859,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
67,你的酒馆对我打了烊,"Shirley Chen",8845,https://open.spotify.com/track/6BL2V0CvfW9QVHm9oU4Lmk
68,"I Don't Care (with Justin Bieber)","Ed Sheeran",8783,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
69,Psycho,"Red Velvet",8760,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
70,绿色,"Shirley Chen",8693,https://open.spotify.com/track/6ZoJngyuPof3KsFhFKA5P5
71,WAYO,"BANG YE DAM",8644,https://open.spotify.com/track/5QiiYSr4pJMPOESQznu2IC
72,"It's You","Ali Gatie",8642,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
73,"In Your Eyes","The Weeknd",8634,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
74,晴天,"Jay Chou",8584,https://open.spotify.com/track/0F02KChKwbcQ3tk4q1YxLH
75,Surrender,"Natalie Taylor",8561,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
76,"Be Alright","Dean Lewis",8549,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
77,Daisies,"Katy Perry",8531,https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc
78,Perfect,"Ed Sheeran",8486,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
79,以後別做朋友,"Eric Chou",8464,https://open.spotify.com/track/7zyYmIdjqqiX6kLryb7QBx
80,"What Am I","Why Don't We",8401,https://open.spotify.com/track/0TMGV2zMZXOILVtQLtkI3G
81,"i'm so tired...",Lauv,8304,https://open.spotify.com/track/4vjpLMyL3ZO6aphdYr8XYw
82,"no song without you",HONNE,8238,https://open.spotify.com/track/3KKUf8F2hktFscLgbH4YwR
83,演員,"Joker Xue",8204,https://open.spotify.com/track/6LunoYd3xpZ19sICOXS8Xd
84,"Adore You","Harry Styles",8180,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
85,太陽,"Pika Chiu",8105,https://open.spotify.com/track/3mAc5QY56d5Zl1MbvnWybK
86,"fuck, i'm lonely (with Anne-Marie)",Lauv,8090,https://open.spotify.com/track/09PGubKAMryhOWv1LHpCYz
87,"lovely (with Khalid)","Billie Eilish",8027,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
88,Shallow,"Lady Gaga",8022,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
89,"bad guy","Billie Eilish",7859,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
90,"天黑請閉眼 feat. 邱鋒澤","Nine Chen",7813,https://open.spotify.com/track/3j5yYj3N0CQSgcHMF91ZlO
91,"If I Can't Have You","Shawn Mendes",7809,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
92,體面(電影《前任3:再見前任》插曲),"Kelly Yu",7808,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
93,"Without Me",Halsey,7778,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
94,"Let Me Down Slowly","Alec Benjamin",7616,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
95,那女孩對我說,"Rachel Liang",7611,https://open.spotify.com/track/5Gip2UwE4f8L4MQWsvcvfA
96,Candy,BAEKHYUN,7610,https://open.spotify.com/track/6kKC35sKUh2FUx4M0qAL44
97,你要的全拿走,"Tiger Hu",7605,https://open.spotify.com/track/37BXaP8wCJrH0M3AdtSNyk
98,Mariposa,"Peach Tree Rascals",7603,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
99,"Something Just Like This","The Chainsmokers",7603,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
100,Feelings,Lauv,7573,https://open.spotify.com/track/0s26En1JoJhVj32vizElpA
101,"You Are The Reason","Calum Scott",7567,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
102,"THE SCOTTS","THE SCOTTS",7551,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
103,"Kings & Queens","Ava Max",7549,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
104,Maniac,"Conan Gray",7486,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
105,安靜,"Jay Chou",7382,https://open.spotify.com/track/4FOydQ5IdqmdeBgG9vFbPg
106,她說,"JJ Lin",7303,https://open.spotify.com/track/632VyMrvhsHIsO4zq9khts
107,不該,"Jay Chou",7279,https://open.spotify.com/track/7LyCtbxher5m97MImn5M3l
108,Happier,Marshmello,7223,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
109,"WHATS POPPIN","Jack Harlow",7082,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
110,可惜沒如果,"JJ Lin",7062,https://open.spotify.com/track/6WoQzK5Exbfcmow1AoNRkl
111,"everything i wanted","Billie Eilish",7040,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
112,"Kill This Love",BLACKPINK,7020,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
113,ON,BTS,7001,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
114,說散就散,"JC 陳詠桐",6995,https://open.spotify.com/track/35fpQiijFocukVyzHCjhCn
115,"Without You","高爾宣 OSN",6961,https://open.spotify.com/track/0KWnRv3wxjltYVB3MqjNd2
116,"Running On My Mind","Ali Gatie",6908,https://open.spotify.com/track/0xEW9gPv5wNuS84pXGG3lc
117,不為誰而作的歌,"JJ Lin",6894,https://open.spotify.com/track/0VqSdtXseb9khdZrnYVyM1
118,Yummy,"Justin Bieber",6885,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
119,"Breaking Me",Topic,6877,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
120,I.F.L.Y.,Bazzi,6872,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
121,突然好想你,Mayday,6853,https://open.spotify.com/track/0IAgufC1FlOg1nZMmRZxRr
122,Takeaway,"The Chainsmokers",6791,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
123,"Call You Mine","The Chainsmokers",6790,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
124,Selfish,"Madison Beer",6789,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
125,"hot girl bummer",blackbear,6749,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
126,"光年之外 (電影 《Passengers》 中國區主題曲)",G.E.M.,6746,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
127,"Any song",ZICO,6663,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
128,你的答案,阿冗,6645,https://open.spotify.com/track/4QWSICaQ6LGmcS8qX9lNVh
129,"Sweet but Psycho","Ava Max",6635,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
130,芒种,音阙诗听,6622,https://open.spotify.com/track/3IP4qSMfGeqI2XqHFf25sj
131,Youngblood,"5 Seconds of Summer",6559,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
132,Sucker,"Jonas Brothers",6542,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
133,Falling,"Harry Styles",6538,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
134,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",6527,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
135,"7 rings","Ariana Grande",6480,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
136,"Rewrite The Stars","Zac Efron",6455,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
137,Photograph,"Ed Sheeran",6445,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
138,"Dancing With A Stranger (with Normani)","Sam Smith",6413,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
139,"Too Good At Goodbyes","Sam Smith",6413,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
140,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,6407,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
141,过客,阿涵,6402,https://open.spotify.com/track/4kRD1QrswfXkNOuTXyBLJV
142,後來的我們,Mayday,6394,https://open.spotify.com/track/13AruKdh8wJhWx6i5dV8X1
143,"Let's Fall in Love for the Night",FINNEAS,6323,https://open.spotify.com/track/7kQkmyoHCEqwe7QwDbkSXM
144,"How Do You Sleep?","Sam Smith",6323,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
