,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,54798,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,"Ice Cream (with Selena Gomez)",BLACKPINK,42164,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
3,Heather,"Conan Gray",38236,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
4,"WAP (feat. Megan Thee Stallion)","Cardi B",33274,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
5,"you broke me first","Tate McRae",30419,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
6,"How You Like That",BLACKPINK,29694,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
7,"Before You Go","Lewis Capaldi",25873,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
8,"Mad at Disney","salem ilese",25589,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
9,"Mood (feat. iann dior)",24kGoldn,25497,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
10,飞鸟和蝉,任然,24333,https://open.spotify.com/track/0O7O4sssbFxoNoB4QRGra1
11,"Someone You Loved","Lewis Capaldi",22287,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,"Watermelon Sugar","Harry Styles",21829,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"Savage Love (Laxed - Siren Beat)","Jawsh 685",21820,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
14,"Not Shy",ITZY,21143,https://open.spotify.com/track/4ecVWqbtW6phQGpZMAyqIU
15,"Stuck with U (with Justin Bieber)","Ariana Grande",20721,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
16,"Be Kind (with Halsey)",Marshmello,19872,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
17,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,19767,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
18,Maria,"Hwa Sa",19715,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
19,怎麼了,"Eric Chou",19505,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm
20,Memories,"Maroon 5",17338,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
21,"Blinding Lights","The Weeknd",17223,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,說好不哭,"Jay Chou",17141,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
23,嚣张,En,16305,https://open.spotify.com/track/3t8M86tiO0aKMMTXzRrFn8
24,"Back Door","Stray Kids",16059,https://open.spotify.com/track/3KUGAgxo3b81X5bWoOp0U8
25,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲","Eric Chou",16002,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
26,"Go Crazy","Chris Brown",14904,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
27,"THE BADDEST",K/DA,14290,https://open.spotify.com/track/2V4Fx72svQRxrFvNT1eq5f
28,Señorita,"Shawn Mendes",14263,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
29,"Laugh Now Cry Later (feat. Lil Durk)",Drake,14163,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
30,"POPSTAR (feat. Drake)","DJ Khaled",13995,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
31,"death bed (coffee for your head)",Powfu,13742,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
32,"eight(Prod.&Feat. SUGA of BTS)",IU,13578,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
33,"Dance Monkey","Tones And I",13522,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
34,告白氣球,"Jay Chou",13454,https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk
35,"Smile (with The Weeknd)","Juice WRLD",13069,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
36,你還不知道?,"Gentle Bones",12985,https://open.spotify.com/track/4dV0T2JbvRemNAdt2oaOhG
37,Circles,"Post Malone",12943,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
38,"Take You Dancing","Jason Derulo",12737,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
