,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",11798,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"The Box","Roddy Ricch",11541,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Life Is Good (feat. Drake)",Future,11340,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
4,Circles,"Post Malone",8066,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,Yummy,"Justin Bieber",7507,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
6,Memories,"Maroon 5",7498,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,"Don't Start Now","Dua Lipa",7174,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,Rare,"Selena Gomez",6329,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
9,"Lose You To Love Me","Selena Gomez",6116,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
10,Falling,"Trevor Daniel",5923,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,"everything i wanted","Billie Eilish",5881,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,ROXANNE,"Arizona Zervas",5789,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,"Blinding Lights","The Weeknd",5787,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
14,"Beautiful People (feat. Khalid)","Ed Sheeran",5704,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
15,"Someone You Loved","Lewis Capaldi",5261,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,Señorita,"Shawn Mendes",5242,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
17,Lorch,"Kabza De Small",5239,https://open.spotify.com/track/1E8jmVFDwAWbDzsjjniKGO
18,"I Don't Care (with Justin Bieber)","Ed Sheeran",4967,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
19,"My Oh My (feat. DaBaby)","Camila Cabello",4599,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
20,"bad guy","Billie Eilish",4471,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
21,"Good News","Mac Miller",4401,https://open.spotify.com/track/3ClBKQkKoaUQ6UOhe2xlJK
22,"Watermelon Sugar","Harry Styles",4200,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
23,"Lose Control",MEDUZA,4186,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
24,"Eastside (with Halsey & Khalid)","benny blanco",4178,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
25,"You should be sad",Halsey,4168,https://open.spotify.com/track/2usxQITOSDqvkYiI0oIwao
26,BOP,DaBaby,4147,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
27,"Trampoline (with ZAYN)",SHAED,4070,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
28,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",4061,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
29,"hot girl bummer",blackbear,4046,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
30,"How Do You Sleep?","Sam Smith",3943,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
31,"Adore You","Harry Styles",3664,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
32,"Call You Mine","The Chainsmokers",3660,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
33,Takeaway,"The Chainsmokers",3659,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
34,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3613,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
35,Phoyisa,"DJ Maphorisa",3521,https://open.spotify.com/track/0HfH8qGXIbl1l2h7IW5Jfh
36,"Before You Go","Lewis Capaldi",3494,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
37,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",3436,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
38,"HIGHEST IN THE ROOM","Travis Scott",3374,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
39,"Ride It",Regard,3269,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
40,"No Idea","Don Toliver",3240,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
41,Heartless,"The Weeknd",3216,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
42,"Higher Love",Kygo,3129,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
43,"Goodbyes (Feat. Young Thug)","Post Malone",3092,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
44,Happier,Marshmello,3063,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
45,Akulaleki,"Samthing Soweto",3050,https://open.spotify.com/track/73wcFiFeCQurmHDQIcirbm
46,"No Guidance (feat. Drake)","Chris Brown",3045,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
47,"Ballin' (with Roddy Ricch)",Mustard,3024,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
48,"Never Really Over","Katy Perry",2993,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
49,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,2975,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
50,"Nana Thula","Kabza De Small",2962,https://open.spotify.com/track/4tDBIoqZEnq6715SnqaJS7
51,"Up All Night",Khalid,2958,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
52,"Look At Her Now","Selena Gomez",2954,https://open.spotify.com/track/7eOkHIcaoUhngxxypM5Ajr
53,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",2950,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
54,"Dancing With A Stranger (with Normani)","Sam Smith",2918,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
55,Youngblood,"5 Seconds of Summer",2868,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
56,Sandton,"Kabza De Small",2857,https://open.spotify.com/track/0ddnry07vtuLzEVK63bw3R
57,"You Need To Calm Down","Taylor Swift",2849,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
58,Jerusalema,"Master KG",2819,https://open.spotify.com/track/5F6tLUQGd7GtiWID9ZEzev
59,"Labantwana Ama Uber","Semi Tee",2816,https://open.spotify.com/track/6KlOMbkMRBQUFWpYe1z8Nq
