,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Un Passo Dalla Luna","Rocco Hunt",551820,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
2,Mediterranea,Irama,434755,https://open.spotify.com/track/47xPl1gvgdx4Z9dNUuloPg
3,Karaoke,Boomdabash,420704,https://open.spotify.com/track/0gJMzk2ueg8hdcajI4FLaC
4,"Paloma (feat. Anitta)","Fred De Palma",377050,https://open.spotify.com/track/0HFkCSXRTUHCYJ148PdD0v
5,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,371842,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
6,"Non mi basta più (feat. Chiara Ferragni)","Baby K",342319,https://open.spotify.com/track/5ZUeBvBEH8hpdLMW3yCmHb
7,"Chico (feat. Rose Villain & Luchè)","Guè Pequeno",329832,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
8,"Bimbi Per Strada (Children)",Fedez,308566,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
9,"Savage Love (Laxed - Siren Beat)","Jawsh 685",296197,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
10,"Ciclone (feat. Elodie, Mariah, Gipsy Kings, Nicolás Reyes, Tonino Baliardo)","Takagi & Ketra",290021,https://open.spotify.com/track/2YGqtxaGdML9aM5jCwgRw9
11,"Breaking Me",Topic,287547,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,Autostop,Shade,276996,https://open.spotify.com/track/5ZgeeXOHGYUn0K3kuICyw9
13,Superclassico,Ernia,275731,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
14,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,265763,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
15,"Sono un bravo ragazzo un po' fuori di testa",Random,249193,https://open.spotify.com/track/5EXLYWZGnmYC01H53WUAhi
16,MAMACITA,"Black Eyed Peas",246429,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
17,"Good Times",Ghali,243904,https://open.spotify.com/track/5165XjbVxwq9dQDxNk7hmf
18,Guaranà,Elodie,239258,https://open.spotify.com/track/1KXpcoggYmNTPCRXIz2m9Z
19,"0ffline (feat. bbno$)","tha Supreme",223314,https://open.spotify.com/track/6ZWsKJdmoYu1oFJbzCmtK9
20,Spigoli,"Carl Brave",212312,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
21,Hypnotized,"Purple Disco Machine",199607,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
22,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,194414,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
23,"Jerusalema (feat. Nomcebo Zikode) - Edit","Master KG",192021,https://open.spotify.com/track/2R7gA9dAHTjASKU0wiTJok
24,Caramelo,Ozuna,187912,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
25,"TesTa TrA Le NuVoLE, pT. 2",Alfa,180425,https://open.spotify.com/track/04UtYEP1Jc0GRxbvH1B6Nk
26,"Djadja (feat. Maluma) - Remix","Aya Nakamura",179366,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
27,Portofino,"Il Pagante",175065,https://open.spotify.com/track/6xc77qJbTNh3yQzSopZEuw
28,"LA ISLA","Giusy & Elettra",174925,https://open.spotify.com/track/0T1QQTMx8jTbtOEeBKe43I
29,"Nena (feat. Geolier & Andry The Hitmaker)","Boro Boro",167343,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
30,"Watermelon Sugar","Harry Styles",160758,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
31,"Il bacio di Klimt","Emanuele Aloia",158319,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
32,"TKN (feat. Travis Scott)",ROSALÍA,151054,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
33,"Fuego Del Calor (feat. Ozuna, Tyga & Capo Plaza)","Scott Storch",150608,https://open.spotify.com/track/7FX4EvQht57zUc2P313cEZ
34,Hollywood,"LA Vision",150596,https://open.spotify.com/track/1XdMp6v9Q3N80WnKSbGfl4
35,"Como Llora",Juanfran,145660,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
36,"Roses - Imanbek Remix","SAINt JHN",145402,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
37,"Una voglia assurda",J-AX,141824,https://open.spotify.com/track/0jaYrOJVG8KcDh9qrU2TU8
38,"Kings & Queens","Ava Max",138942,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
39,"Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)","Achille Lauro",135280,https://open.spotify.com/track/3Oc9ywNtQuuutK3ovrYIfe
40,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",131784,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
41,"Una volta ancora (feat. Ana Mena)","Fred De Palma",129974,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
42,"Jerusalema (feat. Nomcebo Zikode)","Master KG",129528,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
43,Ridere,"Pinguini Tattici Nucleari",125790,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
44,"ELEGANTE (feat. Sfera Ebbasta)",DrefGold,125753,https://open.spotify.com/track/7qADAhkEs9vv3ll4hP8ybC
45,"VIENIMI (a ballare)",AIELLO,124796,https://open.spotify.com/track/3VZfK5GR6tN3WH3WsBNMYq
46,Tusa,"KAROL G",119683,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
47,"ALYX (feat. Capo Plaza)",Lazza,118034,https://open.spotify.com/track/5ifarM7jfplX1EqkqMHlDq
48,Chega,Gaia,117456,https://open.spotify.com/track/76w5oLSdgYvA0Bt4dTUe0Z
49,"2 TIRI (feat. tha Supreme)",Lazza,117087,https://open.spotify.com/track/3TwMhXQ6O1KGPfiYV5mxGN
50,"In Your Eyes","The Weeknd",116866,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
51,"Break My Heart","Dua Lipa",108273,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
52,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",106267,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
53,"Ride It",Regard,102197,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
54,Capo,Geolier,99171,https://open.spotify.com/track/7A9lnmpkWR2tPkcPWGbMqo
55,"Rain On Me (with Ariana Grande)","Lady Gaga",98528,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
56,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,95738,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
57,Louboutin,"Vale pain",93159,https://open.spotify.com/track/7fzaDe7qR6IX2w275uX4Th
58,"blun7 a swishland","tha Supreme",87849,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
59,"SLIME (feat. Rondodasosa)",Lazza,85106,https://open.spotify.com/track/13Iu4OXlnP5vUQ0rgXR6e3
60,"Balla Per Me","Tiziano Ferro",84686,https://open.spotify.com/track/6my3pKZ8QxxI5ZezQVR0wf
