,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Ransom,"Lil Tecca",1700320,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
2,Señorita,"Shawn Mendes",1185875,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
3,"Truth Hurts",Lizzo,1148754,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
4,"Goodbyes (Feat. Young Thug)","Post Malone",1114159,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
5,"Money In The Grave (Drake ft. Rick Ross)",Drake,1086329,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
6,"No Guidance (feat. Drake)","Chris Brown",1065097,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
7,"boyfriend (with Social House)","Ariana Grande",932269,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
8,Panini,"Lil Nas X",863890,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
9,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",815700,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
10,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",800363,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
11,Suge,DaBaby,779432,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
12,"The London (feat. J. Cole & Travis Scott)","Young Thug",774358,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
13,"Beautiful People (feat. Khalid)","Ed Sheeran",711926,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
14,"How Do You Sleep?","Sam Smith",706770,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
15,Lalala,Y2K,694893,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
16,"Someone You Loved","Lewis Capaldi",684261,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"bad guy","Billie Eilish",650449,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,Baby,"Quality Control",623440,https://open.spotify.com/track/2nKYHpmwjLaEOXS3o7QMiz
19,"Pop Out (feat. Lil Tjay)","Polo G",611187,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
20,"Old Town Road - Remix","Lil Nas X",565639,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
21,"Talk (feat. Disclosure)",Khalid,563540,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
22,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",559797,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
23,"Love Me","Lil Tecca",547959,https://open.spotify.com/track/7Aem1fAapTdGcHwAYyQYU4
24,"I Don't Care (with Justin Bieber)","Ed Sheeran",543314,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
25,"Good As Hell",Lizzo,522947,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
26,China,"Anuel AA",511247,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
27,"It's You","Ali Gatie",495938,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
28,I.F.L.Y.,Bazzi,491997,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
29,"MIDDLE CHILD","J. Cole",488453,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
