,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",1829531,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,"Mood (feat. iann dior)",24kGoldn,1409567,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1235328,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1176084,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
5,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1096073,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
6,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,863603,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
7,"POPSTAR (feat. Drake)","DJ Khaled",860323,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
8,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",841228,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
9,Heather,"Conan Gray",796360,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
10,"Come & Go (with Marshmello)","Juice WRLD",775352,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
11,"Wishing Well","Juice WRLD",774079,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
12,Dynamite,BTS,728171,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
13,"Blinding Lights","The Weeknd",687968,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"Watermelon Sugar","Harry Styles",672741,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"Mood Swings (feat. Lil Tjay)","Pop Smoke",658625,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
16,"you broke me first","Tate McRae",636793,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
17,"Smile (with The Weeknd)","Juice WRLD",596582,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
18,"Blueberry Faygo","Lil Mosey",585080,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
19,"Savage Love (Laxed - Siren Beat)","Jawsh 685",563270,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
20,"Go Crazy","Chris Brown",529351,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
21,"Wolves (feat. Post Malone)","Big Sean",512734,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
22,"my ex's best friend (with blackbear)","Machine Gun Kelly",508784,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w
23,"7 Summers","Morgan Wallen",505379,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy
24,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",498955,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
25,"Roses - Imanbek Remix","SAINt JHN",490581,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
26,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",470364,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
27,"Martin & Gina","Polo G",457690,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
28,"GREECE (feat. Drake)","DJ Khaled",455089,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
29,"Midnight Sky","Miley Cyrus",453497,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
30,"24 (feat. Lil Baby)","Money Man",445545,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
31,"Lucid Dreams","Juice WRLD",444961,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
32,Circles,"Post Malone",435007,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
33,Robbery,"Juice WRLD",434609,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
34,"The Box","Roddy Ricch",432527,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
35,"We Paid (feat. 42 Dugg)","Lil Baby",430924,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
36,"All Girls Are The Same","Juice WRLD",425816,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
37,Conversations,"Juice WRLD",425326,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
38,Hawái,Maluma,423487,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
39,21,"Polo G",422133,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
40,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",417490,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
41,"Ice Cream (with Selena Gomez)",BLACKPINK,410798,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
42,"Before You Go","Lewis Capaldi",408703,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
43,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,407592,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
44,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",402750,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
45,"Party Girl",StaySolidRocky,399427,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
46,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",392238,https://open.spotify.com/track/2rFsFjq0D9JAmc0APpCO6P
47,"Got It On Me","Pop Smoke",391724,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
48,"Electric Love",BØRNS,390245,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
