,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"blun7 a swishland","tha Supreme",386500,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
2,"ANSIA NO","FSK SATELLITE",295704,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
3,"fuck 3x","tha Supreme",265363,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
4,"Stu core t'apparten","Rocco Hunt",255505,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
5,"Dance Monkey","Tones And I",245548,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",239711,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
7,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,219015,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
8,"CRUDELIA - I nervi",Marracash,208982,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
9,"BRAVI A CADERE - I polmoni",Marracash,195550,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
10,"Tutto Questo Sei Tu",Ultimo,179525,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
11,"Soldi in Nero - feat. Sfera Ebbasta",Shiva,176946,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
12,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",165905,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
13,Falling,"Trevor Daniel",163032,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
14,"RITMO (Bad Boys For Life)","Black Eyed Peas",162158,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
15,"Holly & Benji (feat. Capo Plaza & Shiva)",AVA,148357,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
16,ROXANNE,"Arizona Zervas",139916,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
17,Chiasso,Random,138892,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
18,"Don't Start Now","Dua Lipa",138817,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
19,"Una volta ancora (feat. Ana Mena)","Fred De Palma",137749,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
20,Memories,"Maroon 5",137325,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
21,"Non Avere Paura","Tommaso Paradiso",135796,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
22,"Gigolò (feat. Sfera Ebbasta & Capo Plaza)",Lazza,133758,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
23,Yummy,"Justin Bieber",130682,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
24,Bossoli,Shiva,130669,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
