,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Ballin' (with Roddy Ricch)",Mustard,2948,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
56,Takeaway,"The Chainsmokers",2889,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
57,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)","Mfr Souls",2839,https://open.spotify.com/track/2NbUnaGrjwRuRjZ5EPyOR5
58,"To Die For","Sam Smith",2770,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
59,"CITY OF ANGELS",24kGoldn,2755,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
60,"Never Seen the Rain","Tones And I",2750,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
61,Cardigan,"Don Toliver",2745,https://open.spotify.com/track/0Li1OuXXfi7950ilZUFGkF
62,Supalonely,BENEE,2677,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
63,"What If I Told You That I Love You","Ali Gatie",2642,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
64,"Watermelon Sugar","Harry Styles",2640,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
65,Happier,Marshmello,2607,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
66,"Lucid Dreams","Juice WRLD",2565,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
67,"If the World Was Ending - feat. Julia Michaels","JP Saxe",2525,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
68,"Nana Thula","Kabza De Small",2521,https://open.spotify.com/track/4tDBIoqZEnq6715SnqaJS7
69,"when the party's over","Billie Eilish",2438,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
70,"Call You Mine","The Chainsmokers",2435,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
71,"Stupid Love","Lady Gaga",2434,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
72,BOP,DaBaby,2426,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
73,Falling,"Harry Styles",2399,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
74,"No Guidance (feat. Drake)","Chris Brown",2395,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
75,"HIGHEST IN THE ROOM","Travis Scott",2379,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
76,"Feel Me","Selena Gomez",2363,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
77,"10,000 Hours (with Justin Bieber)","Dan + Shay",2325,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
78,Physical,"Dua Lipa",2289,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
79,"Dancing With A Stranger (with Normani)","Sam Smith",2254,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
80,"Happiness Over Everything (H.O.E.) (feat. Future & Miguel)","Jhené Aiko",2253,https://open.spotify.com/track/2yUy5eFAFWAichjrySJWA2
81,Shallow,"Lady Gaga",2253,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
82,"How Do You Sleep?","Sam Smith",2252,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
83,Myron,"Lil Uzi Vert",2237,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
84,"Without Me",Halsey,2222,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
85,"Higher Love",Kygo,2219,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
86,"I Love Me","Demi Lovato",2211,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
87,Zaka,"Mas Music",2199,https://open.spotify.com/track/3wfldFmVsFWAZZrqw8FxMp
88,Youngblood,"5 Seconds of Summer",2186,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
89,"Never Really Over","Katy Perry",2181,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
90,"Old Town Road - Remix","Lil Nas X",2161,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
91,"I Like Me Better",Lauv,2146,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
92,"Hello - Live","Kabza De Small",2138,https://open.spotify.com/track/6GoWV2xaRM5zW5ipsMtaeq
93,"Money In The Grave (Drake ft. Rick Ross)",Drake,2138,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
94,"Rescue Me",OneRepublic,2129,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
95,"Moral of the Story",Ashe,2126,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
96,"You Need To Calm Down","Taylor Swift",2102,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
97,Akulaleki,"Samthing Soweto",2086,https://open.spotify.com/track/73wcFiFeCQurmHDQIcirbm
98,Sucker,"Jonas Brothers",2082,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
99,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",2076,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
100,"Goodbyes (Feat. Young Thug)","Post Malone",2063,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
101,"Sweet but Psycho","Ava Max",2048,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
102,Rare,"Selena Gomez",2030,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
103,"Purple Hat","Sofi Tukker",2027,https://open.spotify.com/track/6WiGRFQfx2qw49MA7OeDYK
104,"Trampoline (with ZAYN)",SHAED,2027,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
105,Suicidal,"YNW Melly",2018,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
106,"rockstar (feat. 21 Savage)","Post Malone",2004,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
107,Woah,"Lil Baby",1970,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
