,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Una volta ancora (feat. Ana Mena)","Fred De Palma",340143,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
2,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",326232,https://open.spotify.com/track/1MtmXPxXP4ntSjfF5xnOyM
3,Chiasso,Random,295296,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
4,"YOSHI (feat. tha Supreme, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]",MACHETE,289498,https://open.spotify.com/track/0VU34EBWTAlHVIZE3aWlZA
5,"Street Advisor (feat. Noyz Narcos, Marracash & Capo Plaza)","Night Skinny",288194,https://open.spotify.com/track/6uUpssCxQaQWrlx869314b
6,"Stay Away (feat. Ketama126, Side Baby & Franco126)","Night Skinny",258057,https://open.spotify.com/track/6oZJl2T2hdHnMYcZR6VJGb
7,"Novità (feat. Rkomi, Ernia & Tedua)","Night Skinny",243719,https://open.spotify.com/track/0hkY6Je3FYVPCCLZNtPKhH
8,"Dove e quando","Benji & Fede",228289,https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h
9,"Attraverso Me (feat. Luchè)","Night Skinny",226847,https://open.spotify.com/track/3zxZa44T41BWejPmrzY819
10,Lento,"Boro Boro",225400,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
11,"Mattoni (feat. Noyz Narcos, Shiva, Speranza, Guè Pequeno, Achille Lauro, Geolier, Lazza, Ernia, Side Baby & Taxi B)","Night Skinny",215707,https://open.spotify.com/track/6zbNaPbHWsB6V3rNhn3dPx
12,"Saluti (feat. Guè Pequeno, Fabri Fibra, Rkomi & Carolina Marquez)","Night Skinny",208110,https://open.spotify.com/track/4GI7qUGKC1p0BxngJ6CqcW
13,"Cin Cin",Alfa,203350,https://open.spotify.com/track/0EThQdS5hqhByp2CLttKin
14,"Prometto (feat. Rkomi & Luchè)","Night Skinny",194038,https://open.spotify.com/track/35DgCphwTxRkI2jUec0mWA
15,"Bad People (feat. Noyz Narcos & Fabri Fibra)","Night Skinny",191452,https://open.spotify.com/track/5TwJedNtu62ApZfr2qsZUp
16,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,188312,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
17,"Margarita (con Marracash)",Elodie,183876,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b
18,"Fare Chiasso (feat. Quentin40 & Rkomi)","Night Skinny",183636,https://open.spotify.com/track/0w616hBg9NFBhAXD2MaBBB
19,Señorita,"Shawn Mendes",182953,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
20,Bossoli,Shiva,177980,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
21,"Mambo Salentino",Boomdabash,176842,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
22,"Mille Strade (feat. Ketama126 & Izi)","Night Skinny",175966,https://open.spotify.com/track/4f5tQVN35lq4xqcXEZhcP8
23,"La hit dell'estate",Shade,174495,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
24,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",172572,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
25,"Numero10 (feat. Ernia & Quentin40)","Night Skinny",170739,https://open.spotify.com/track/6MS8k4z2YhIHXGVnfpqjTu
26,Lalala,Y2K,167523,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
27,Barrio,Mahmood,163353,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
28,JAMBO,"Takagi & Ketra",161903,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
29,Arrogante,Irama,160652,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
30,"Na Na Na",Holden,159484,https://open.spotify.com/track/1cg6IqyZgBCU6P34gY161z
31,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",155108,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
32,"Ostia Lido",J-AX,153400,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5
33,"Mon Fre - feat. Emis Killa",Shiva,152207,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
34,".Rosso (feat. Madame & Rkomi)","Night Skinny",150622,https://open.spotify.com/track/0ZJKwtAoFb0gaufgPBULpG
35,"MI AMI O NO (feat. Capo Plaza)",Giaime,147994,https://open.spotify.com/track/2UsAeEA2JH7kKSOflP23zY
36,"Fumo 1etto (feat. Side Baby, Shiva & Fabri Fibra)","Night Skinny",144877,https://open.spotify.com/track/6eZO8FD9v3QGcrt1JvnoUS
37,Playa,"Baby K",142175,https://open.spotify.com/track/7bBIBrSmHvdMlTC7b9p8Vq
38,"Nisciun' (feat. Geolier)","Rocco Hunt",140003,https://open.spotify.com/track/6nUJr7wd4hiPBLjC8Db2Cr
39,China,"Anuel AA",137704,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
40,"Piccola Stella",Ultimo,136877,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
41,"Look Back at It (feat. CAPO PLAZA)","A Boogie Wit da Hoodie",131250,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G
42,"Piece Of Your Heart",MEDUZA,129417,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
43,"MARYLEAN (feat. Marracash) - prod. Low Kidd",MACHETE,124401,https://open.spotify.com/track/28fRkU3vhqAJdl9i9458pQ
44,"HO PAURA DI USCIRE 2 - prod. Mace",MACHETE,122866,https://open.spotify.com/track/0nFCpnM7nistUWXRZpzOWM
45,FIORI,Giaime,110742,https://open.spotify.com/track/500c6DLy4ag8gFAnkuzTxP
46,"Maradona y Pelé",Thegiornalisti,110560,https://open.spotify.com/track/3xALgUxUFNYIrbMew1sbnC
47,"Life Style (feat. Vale Lambo, Lele Blade, CoCo & Geolier)","Night Skinny",106645,https://open.spotify.com/track/5sw5ksk9jaYMQkIiBOjpBN
48,"Twerk (con Boro Boro)",MamboLosco,105349,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
49,"Someone You Loved","Lewis Capaldi",101638,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
50,"Mc Drive (feat. Shiva)",MamboLosco,100182,https://open.spotify.com/track/6a2Xgy3nTIHI37bj5RIKqx
51,Ransom,"Lil Tecca",98627,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
52,"SCACCIACANI - feat. Massimo Pericolo - prod. Crookers & Nic Sarno",Ketama126,98421,https://open.spotify.com/track/2665YLaM0dLaIhkjpUHT7k
53,"I Don't Care (with Justin Bieber)","Ed Sheeran",96458,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
54,"È sempre bello",Coez,96420,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
55,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,96375,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
56,"0 Like (feat. Jake La Furia)","Night Skinny",93935,https://open.spotify.com/track/3p21z81voH5jXTAPKR8bsU
57,"Rondini Al Guinzaglio",Ultimo,91863,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
58,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",91728,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
59,"Non Ci Sto (con Marracash & Carl Brave)",Shablo,91318,https://open.spotify.com/track/5stH9hqpR941AmiJ9tVzrN
60,"Buonanotte Amò","Rocco Hunt",91211,https://open.spotify.com/track/0G9rMKBc4l9Knfd1Sw1cdi
61,"Beautiful People (feat. Khalid)","Ed Sheeran",90920,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
62,"Vivere Tutte Le Vite - con Carl Brave",Elisa,88676,https://open.spotify.com/track/7l56nY7NMP1QDdWvRdJmmg
63,"bad guy","Billie Eilish",87313,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
64,"Senza Pensieri (feat. Loredana Bertè & J-AX)","Fabio Rovazzi",86703,https://open.spotify.com/track/1p9E8WC4aTSzArtqdQI1F5
65,"Veleno 7",Gemitaiz,85864,https://open.spotify.com/track/3fV9z98dnQLSIPIMMJXCm7
66,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",84522,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
67,Domenica,Coez,84482,https://open.spotify.com/track/2tVNMtgZ2CQpTx7vgcuTkL
68,"Per Un Milione",Boomdabash,84434,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
69,"Costa Tanto (feat. Tony Effe)",MamboLosco,82522,https://open.spotify.com/track/4Kw1tbZNDEJuIJZVKaMTwn
70,"Cracovia, Pt. 3","Il Tre",80972,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI
71,"Sciacqua La Bocca (feat. Chadia Rodriguez)","Night Skinny",78109,https://open.spotify.com/track/6ahXldp3LqIwbLGaxHdrxI
72,"Dance Monkey","Tones And I",77963,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
