,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"È sempre bello",Coez,273587,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
2,"Per Un Milione",Boomdabash,262312,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
3,"Con Calma","Daddy Yankee",261725,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
4,Mademoiselle,"Sfera Ebbasta",238484,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c
5,"Calma - Remix","Pedro Capó",225995,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
6,"I Tuoi Particolari",Ultimo,212055,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
7,Soldi,Mahmood,194782,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
8,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,194319,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
9,"Sweet but Psycho","Ava Max",177546,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
10,"Baila Baila Baila",Ozuna,166452,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
11,"Rondini Al Guinzaglio",Ultimo,162830,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
12,"Mon Cheri (feat. Sfera Ebbasta)",Rkomi,156860,https://open.spotify.com/track/66UkKyxN5YbJl9z7YamQOR
13,"Adan y Eva","Paulo Londra",156558,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
14,"bad guy","Billie Eilish",155731,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,"Blu (feat. Elisa)",Rkomi,144203,https://open.spotify.com/track/0Q4v8N758nx98YxObfqkNC
16,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)","Takagi & Ketra",142517,https://open.spotify.com/track/0swoHiwTazywpoqiKDUtGQ
17,"Bad Liar","Imagine Dragons",134927,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
18,"Stamm Fort (feat. Sfera Ebbasta)",Luche,133412,https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD
19,"I Love You",Ghali,132416,https://open.spotify.com/track/7GOFNyZcCTwm1SsC5jOFpA
20,HP,Maluma,124788,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
21,"Senza farlo apposta",Shade,121588,https://open.spotify.com/track/55t2S1tpx1Bj3C5bIEn2BF
22,"La ragazza con il cuore di latta",Irama,118339,https://open.spotify.com/track/0NmyHZZMfVBiUSOfDmz9Bf
23,"La mia malattia","Emis Killa",118050,https://open.spotify.com/track/2y1Ul8iwJ6w9ft9R5Ik6Ez
24,"Don't Call Me Up",Mabel,107144,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
25,"Hola (I Say) (feat. Tom Walker)","Marco Mengoni",103833,https://open.spotify.com/track/42LrSpEHmXHfjEH8NeiQQi
26,"C'est la vie","Achille Lauro",103755,https://open.spotify.com/track/6qrzETcLAmhkNW5PbkwcJI
27,"Senza Di Me (feat. Venerus & Franco126)",Gemitaiz,103519,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
28,Wow.,"Post Malone",103479,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
29,"Te Robaré","Nicky Jam",103303,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
30,Shallow,"Lady Gaga",103291,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
31,"bury a friend","Billie Eilish",103063,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
32,SOS,Avicii,102840,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
33,90MIN,Salmo,100954,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
34,"High Hopes","Panic! At The Disco",100504,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
35,"Posso (feat. Max Gazzé)","Carl Brave",98878,https://open.spotify.com/track/5N0nmOmc0MqPZTYKw4fVV6
36,"2% (feat. Frah Quintale)","Guè Pequeno",98789,https://open.spotify.com/track/5ODlTG5qxhCsC05E36Rv25
37,"Piccola Stella",Ultimo,98572,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
38,"Hola! (feat. Nayt)",Clementino,97492,https://open.spotify.com/track/7K177jGya9eEjfOAqEDbD9
39,"Giant (with Rag'n'Bone Man)","Calvin Harris",96740,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
40,"Anche Fragile",Elisa,92960,https://open.spotify.com/track/7fXTNTj6tiyaIvcezY8k5f
41,Happier,Marshmello,89828,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
42,Secreto,"Anuel AA",89365,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
43,"Scialla semper","Massimo Pericolo",86872,https://open.spotify.com/track/2dRp9MdWDaobzUCefxBZxk
44,Domenica,Coez,86335,https://open.spotify.com/track/2tVNMtgZ2CQpTx7vgcuTkL
45,"7 rings","Ariana Grande",85232,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
46,"7 miliardi","Massimo Pericolo",83838,https://open.spotify.com/track/67vjEOTkBppbVLUUq5mEJz
47,Amici,"Massimo Pericolo",83738,https://open.spotify.com/track/7aVX95NjONZszSeb8vJZF3
48,"Cascare nei tuoi occhi",Ultimo,82472,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
49,"Let Me Down Slowly","Alec Benjamin",82319,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
50,"Fuoco e benzina","Emis Killa",82108,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc
51,LUNEDI',Salmo,81131,https://open.spotify.com/track/1VNARx6Sm6ZYAsDMCGiU1B
52,"Happy Birthday","Sfera Ebbasta",80744,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2
53,"Colpa Delle Favole",Ultimo,80131,https://open.spotify.com/track/1C5zFIXqqJt6POOhcHfSmn
54,"Certi Giorni (feat. Nitro)",Ernia,78630,https://open.spotify.com/track/4nvsA575k8HrEjdQ78Ymvi
55,"Billets (feat. Ninho)","Capo Plaza",77873,https://open.spotify.com/track/2aD5ESGyEhXnXdoOsZvsR0
56,Pianeti,Ultimo,75914,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
57,Ansia,"Massimo Pericolo",74523,https://open.spotify.com/track/7IodmRmNI9m1Scoyar9xsP
58,Sucker,"Jonas Brothers",74207,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
59,"Torna a casa",Måneskin,73696,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
60,MALA,6ix9ine,73195,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
61,"oh 9od","tha Supreme",72819,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr
62,"Amati Sempre",Ultimo,72620,https://open.spotify.com/track/0W3fsnIsf0m1n7JXOvYbsc
63,"Someone You Loved","Lewis Capaldi",72213,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
64,"Old Town Road","Lil Nas X",72097,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
65,"Boogie Nights (feat. Ghali)",Rkomi,71913,https://open.spotify.com/track/4MmTsaYqv9QR3yzbMeiNS5
66,"Cambiare Adesso","Dark Polo Gang",71862,https://open.spotify.com/track/2xjxaKiYssIdDU6DCPpZPt
67,"Rolls Royce (feat. Boss Doms & Frenetik&Orang3)","Achille Lauro",71037,https://open.spotify.com/track/0xXt39nrPLKPdLma3Ce1Vk
68,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",70931,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
69,"Say My Name","David Guetta",70396,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
70,Ipocondria,Ultimo,69056,https://open.spotify.com/track/6YrDRkcDktxgsPcH8x77xm
71,Soldati,"Massimo Pericolo",67324,https://open.spotify.com/track/4wjJAbrMPIUOafFK7VaZdC
72,"CABRIOLET (feat. Sfera Ebbasta)",Salmo,66751,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN
73,"STAI ZITTO (feat. Fabri Fibra)",Salmo,66714,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd
74,Cocco,"Massimo Pericolo",66077,https://open.spotify.com/track/3E5t5XDzJj3iSVBUq79rjb
75,"Uno squillo","Capo Plaza",66042,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
76,"Contra La Pared","Sean Paul",65558,https://open.spotify.com/track/3JjaofJ0lCeEsFSZqppzOp
77,"Quando Fuori Piove",Ultimo,65551,https://open.spotify.com/track/2p0qsfmL5oCtpZ72tuMwHN
