,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Memories,"Maroon 5",67060,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
2,Señorita,"Shawn Mendes",52915,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
3,Circles,"Post Malone",49977,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,"Someone You Loved","Lewis Capaldi",43379,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
5,說好不哭,"Jay Chou",41109,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
6,"10,000 Hours (with Justin Bieber)","Dan + Shay",40793,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
7,"How Do You Sleep?","Sam Smith",37480,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
8,"Beautiful People (feat. Khalid)","Ed Sheeran",36156,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
9,Feelings,Lauv,36080,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
10,"Dance Monkey","Tones And I",34919,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
11,"HIGHEST IN THE ROOM","Travis Scott",30395,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
12,"hot girl bummer",blackbear,30116,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
13,"Feel Special",TWICE,30062,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj
14,I.F.L.Y.,Bazzi,29155,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
15,"It's You","Ali Gatie",28901,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
16,"What Am I","Why Don't We",26452,https://open.spotify.com/track/0TMGV2zMZXOILVtQLtkI3G
17,"Lights Up","Harry Styles",26353,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
18,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",26243,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
19,Graveyard,Halsey,26226,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
20,"I Don't Care (with Justin Bieber)","Ed Sheeran",24909,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
21,怎麼了,"Eric Chou",24682,https://open.spotify.com/track/2IAumRplFr0Ns09kKgt2je
22,Liar,"Camila Cabello",24034,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
23,"Good Thing (with Kehlani)",Zedd,23876,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
24,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",23289,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
25,"Takeaway (feat. Lennon Stella)","The Chainsmokers",23062,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
26,"fuck, i'm lonely",Lauv,22782,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
27,"Boy With Luv (feat. Halsey)",BTS,22592,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
28,"Goodbyes (Feat. Young Thug)","Post Malone",21685,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
29,Jopping,SuperM,20381,https://open.spotify.com/track/5WrEilrRI5cIW0DxMvQYPZ
30,"boyfriend (with Social House)","Ariana Grande",20057,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
31,"bad guy","Billie Eilish",19427,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
32,Teeth,"5 Seconds of Summer",19016,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
33,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,18315,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
34,Sims,Lauv,18302,https://open.spotify.com/track/7sJwGtoWgkVRwzujlyT3cp
35,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲","Eric Chou",18039,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
36,"Call You Mine","The Chainsmokers",18038,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
37,告白氣球,"Jay Chou",18017,https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk
38,"Trampoline (with ZAYN)",SHAED,17714,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
39,Lover,"Taylor Swift",17702,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
40,comethru,"Jeremy Zucker",17298,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
41,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",17064,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
42,"Cry for Me","Camila Cabello",17058,https://open.spotify.com/track/40nPimvmG05WYS7983bawZ
43,Saint-Tropez,"Post Malone",16624,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
44,"If I Can't Have You","Shawn Mendes",16454,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
45,如果雨之後,"Eric Chou",16225,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
46,"Falling Like The Stars","James Arthur",16180,https://open.spotify.com/track/15xWRPHQMeqgdkGzInx3PY
47,2002,Anne-Marie,15997,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
48,"On My Way","Alan Walker",15638,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
49,"Kill This Love",BLACKPINK,14944,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
50,那些你很冒險的夢,"JJ Lin",14924,https://open.spotify.com/track/5kZDxLcbqglZ2yYXg4Mkjc
51,"I Like Me Better",Lauv,14854,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
52,"Say You Won't Let Go","James Arthur",14311,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
53,Lonely,Diplo,14096,https://open.spotify.com/track/4fwo6czG5nvOQMzhOto1ya
54,對的時間點,"JJ Lin",13867,https://open.spotify.com/track/33LJXFLqeifw9YxsVoeOgM
55,"真的傻 (電影《一吻定情》追愛版主題曲)","LaLa Hsu",13770,https://open.spotify.com/track/7mCr6Rn5jx04Fisvts97Z3
56,以後別做朋友,"Eric Chou",13699,https://open.spotify.com/track/7zyYmIdjqqiX6kLryb7QBx
57,小幸運,"Hebe Tien",13468,https://open.spotify.com/track/1ZeVIrCWzEmsJexkrgvjFv
58,年少有為,"Ronghao Li",13040,https://open.spotify.com/track/6XY80Ofqd8j0SGiEdRLwCp
59,Panini,"Lil Nas X",12961,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
60,你要的全拿走,"Tiger Hu",12871,https://open.spotify.com/track/37BXaP8wCJrH0M3AdtSNyk
61,等你下課,"Jay Chou",12827,https://open.spotify.com/track/76WthWB0v0KXUHZoAclMVV
62,绿色,"Shirley Chen",12818,https://open.spotify.com/track/6ZoJngyuPof3KsFhFKA5P5
63,你的酒馆对我打了烊,"Shirley Chen",12644,https://open.spotify.com/track/6BL2V0CvfW9QVHm9oU4Lmk
64,Easy,"Camila Cabello",12618,https://open.spotify.com/track/46D0hYb1B7qiU33VtXt21W
65,體面(電影《前任3:再見前任》插曲),"Kelly Yu",12522,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
66,"i'm so tired...",Lauv,12336,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
67,Sucker,"Jonas Brothers",12327,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
68,Shallow,"Lady Gaga",12311,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
69,Perfect,"Ed Sheeran",12083,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
70,"Without Me",Halsey,11899,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
71,"Sweet but Psycho","Ava Max",11739,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
72,可惜沒如果,"JJ Lin",11708,https://open.spotify.com/track/6WoQzK5Exbfcmow1AoNRkl
73,"Be Alright","Dean Lewis",11700,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
74,她說,"JJ Lin",11463,https://open.spotify.com/track/632VyMrvhsHIsO4zq9khts
75,"Nice To Meet Ya","Niall Horan",11447,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
76,"一樣美麗 - 粉紅絲帶宣導活動主題曲","Eric Chou",11419,https://open.spotify.com/track/5VuI9PEbkwU2wMD5GAKQLf
77,晴天,"Jay Chou",11373,https://open.spotify.com/track/0F02KChKwbcQ3tk4q1YxLH
78,"Ride It",Regard,11372,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
79,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,11360,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
80,"Used to You","Ali Gatie",11280,https://open.spotify.com/track/55OUCSy92BYCmhjOuzFQcf
81,不為誰而作的歌,"JJ Lin",11260,https://open.spotify.com/track/0VqSdtXseb9khdZrnYVyM1
82,Happier,Marshmello,11216,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
83,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",11163,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
84,不該,"Jay Chou",11012,https://open.spotify.com/track/7LyCtbxher5m97MImn5M3l
85,"You Are The Reason","Calum Scott",11001,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
86,"Girls Like You (feat. Cardi B)","Maroon 5",10828,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
87,"光年之外 (電影 《Passengers》 中國區主題曲)",G.E.M.,10787,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
88,將故事寫成我們,"JJ Lin",10702,https://open.spotify.com/track/3Vl7IqSQsAsfScssywTDny
89,FANCY,TWICE,10672,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
90,"7 rings","Ariana Grande",10519,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
91,"Dancing With A Stranger (with Normani)","Sam Smith",10383,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
92,"Too Good At Goodbyes","Sam Smith",10309,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
93,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",10198,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
94,"Let Me Down Slowly","Alec Benjamin",10123,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
95,說散就散,"JC 陳詠桐",10054,https://open.spotify.com/track/3CE1HoJJ0FVKo7JHsWIuvC
96,"Beautiful (feat. Camila Cabello)",Bazzi,9993,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
97,給我一個理由忘記,A-Lin,9910,https://open.spotify.com/track/2DcmVSLAg0ZzfOQxDshZHY
98,Photograph,"Ed Sheeran",9908,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
99,"Rewrite The Stars","Zac Efron",9894,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
100,Ransom,"Lil Tecca",9850,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
101,那女孩對我說,"Rachel Liang",9841,https://open.spotify.com/track/5Gip2UwE4f8L4MQWsvcvfA
102,修煉愛情,"JJ Lin",9839,https://open.spotify.com/track/190kU2WKyIzx9XaBjfWRPk
103,"Eastside (with Halsey & Khalid)","benny blanco",9833,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
104,"thank u, next","Ariana Grande",9815,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
105,Lalala,Y2K,9716,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
106,"Haa Tepok",MeerFly,9536,https://open.spotify.com/track/65pndcjVsNEJpwxfTgcdv0
107,"You Need To Calm Down","Taylor Swift",9465,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
108,Youngblood,"5 Seconds of Summer",9429,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
109,"Something Just Like This","The Chainsmokers",9425,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
110,"Love Someone","Lukas Graham",9411,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
111,"bad guy (with Justin Bieber)","Billie Eilish",9394,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
112,"Never Really Over","Katy Perry",9365,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
113,Motivation,Normani,9355,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
114,Bruises,"Lewis Capaldi",9311,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
115,安靜,"Jay Chou",9278,https://open.spotify.com/track/4FOydQ5IdqmdeBgG9vFbPg
116,後來的我們,Mayday,9224,https://open.spotify.com/track/13AruKdh8wJhWx6i5dV8X1
117,"Writing on the Wall (feat. Post Malone & Cardi B)","French Montana",9172,https://open.spotify.com/track/7x9nXsowok1JszkVztI5NI
118,"So Am I","Ava Max",9158,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
119,"Walking (feat. Swae Lee & Major Lazer)",88rising,9136,https://open.spotify.com/track/1qbXrxctv75pm1lWCn6Zw3
120,"Shape of You","Ed Sheeran",9078,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
121,"Truth Hurts",Lizzo,9064,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
122,"那些年 - 那些年","Hu Xia",8894,https://open.spotify.com/track/3v8FOuA8jxAC5SOA2uN6Mg
123,"How can I love the heartbreak, you`re the one I love",AKMU,8873,https://open.spotify.com/track/4FObSSNE4O4dgzD4iHFprW
124,"Treat You Better","Shawn Mendes",8869,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
125,手心的薔薇,"JJ Lin",8784,https://open.spotify.com/track/07DWACsD58aEdq6XnDadLh
126,"Here With Me",Marshmello,8780,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
