,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"What Am I","Why Don't We",10323,https://open.spotify.com/track/0TMGV2zMZXOILVtQLtkI3G
58,"Can We Kiss Forever?",Kina,10173,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
59,"I Like Me Better",Lauv,10133,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
60,"真的傻 (電影《一吻定情》追愛版主題曲)","LaLa Hsu",10056,https://open.spotify.com/track/7mCr6Rn5jx04Fisvts97Z3
61,"It's You","Ali Gatie",10020,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
62,ON,BTS,10016,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
63,"I Don't Care (with Justin Bieber)","Ed Sheeran",10008,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
64,嚣张,En,9956,https://open.spotify.com/track/3t8M86tiO0aKMMTXzRrFn8
65,那些你很冒險的夢,"JJ Lin",9944,https://open.spotify.com/track/5kZDxLcbqglZ2yYXg4Mkjc
66,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",9866,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
67,"i'm so tired...",Lauv,9838,https://open.spotify.com/track/4vjpLMyL3ZO6aphdYr8XYw
68,"To Die For","Sam Smith",9782,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
69,"ily (i love you baby) (feat. Emilee)","Surf Mesa",9765,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
70,"After Hours","The Weeknd",9761,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
71,Feelings,Lauv,9748,https://open.spotify.com/track/0s26En1JoJhVj32vizElpA
72,comethru,"Jeremy Zucker",9722,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
73,小幸運,"Hebe Tien",9575,https://open.spotify.com/track/1ZeVIrCWzEmsJexkrgvjFv
