,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Máquina do Tempo",Matuê,650353,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8
2,"Oh Juliana",Niack,610730,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
3,777-666,Matuê,607963,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
4,"Investe Em Mim","Jonas Esticado",524276,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
5,"Recairei - Ao Vivo","Os Barões Da Pisadinha",454368,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
6,"É Sal",Matuê,426638,https://open.spotify.com/track/2c80HnIOPMmQQVQllQEWb5
7,Cogulândia,Matuê,424392,https://open.spotify.com/track/5T6mY3sQbvVfLnertXdoST
8,"Comprei um Lança","Mc Jacare",416903,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
9,"Desce Pro Play (PA PA PA)","Mc Zaac",408957,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
10,"Quero Você do Jeito Que Quiser","Marília Mendonça",405009,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
11,Antes,Matuê,401919,https://open.spotify.com/track/2XymTaHTrQWDEuSyhfZvqF
12,"Só Você","MC Rogerinho",395879,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
13,"WAP (feat. Megan Thee Stallion)","Cardi B",378632,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
14,"Sogra - Ao Vivo",Dilsinho,368661,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
15,"Gorilla Roxo",Matuê,359627,https://open.spotify.com/track/0bV0LtjtZH76gD0ujPYS3n
16,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",357937,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
17,"Vai Ter Que Aguentar","Mc Don Juan",356246,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
18,TOMA,"Luísa Sonza",327804,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg
