,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Desce Pro Play (PA PA PA)","Mc Zaac",618740,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
2,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",581428,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
3,"Na Raba Toma Tapão",Niack,470168,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
4,Ranking,"Jorge & Mateus",371024,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
5,"Tudo Aconteceu","MC Du Black",370605,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
6,Flores,Vitão,366200,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
7,"Volta por Baixo - Ao Vivo","Henrique & Juliano",352893,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
8,"Graveto - Ao Vivo","Marília Mendonça",343428,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
9,"Litrão - Ao Vivo","Matheus & Kauan",341379,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
10,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",322293,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
11,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",320333,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
12,"Te Prometo","Dennis DJ",318925,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
13,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",315725,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
14,"Investe Em Mim","Jonas Esticado",315435,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
15,BRABA,"Luísa Sonza",309053,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
16,"Vai Ter Que Aguentar","Mc Don Juan",299211,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
17,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",281543,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
18,"Roses - Imanbek Remix","SAINt JHN",269610,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
19,"Viva Voz - Ao Vivo","Lauana Prado",266111,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
20,"S de Saudade","Luíza & Maurílio",261384,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
21,ASAS,"Luan Santana",261038,https://open.spotify.com/track/0j1tGcJJfq1nIs4i5GoHXv
22,"Don't Start Now","Dua Lipa",257851,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
23,"Comprei um Lança","Mc Jacare",255434,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
24,"Saudade Sua","Gusttavo Lima",249136,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi
25,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",249010,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
26,"Watermelon Sugar","Harry Styles",248945,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,"Despedida - Ao Vivo","Wesley Safadão",241141,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
28,"Não Vai Embora",Dilsinho,237558,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
29,"Blinding Lights","The Weeknd",234977,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
30,"Libera Ela - Ao Vivo","Maiara & Maraisa",232467,https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql
31,"Quero Você do Jeito Que Quiser","Marília Mendonça",230907,https://open.spotify.com/track/51uXmhqGR76tT2UeKZyeN6
32,"Mentira - Ao Vivo","Felipe Araújo",229949,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1
33,"Pipa Voada (feat. Emicida)",Rashid,223794,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi
34,"menina solta","Giulia Be",220656,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
35,"Desejando Eu (Ao Vivo)","Murilo Huff",216212,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
36,"Amor de Fim de Noite",Orochi,216044,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J
37,"Sogra - Ao Vivo",Dilsinho,213076,https://open.spotify.com/track/4x8XaoLvpo6kd51PZD16RK
38,"death bed (coffee for your head)",Powfu,213037,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
39,"água com açúcar - ao vivo","Luan Santana",210694,https://open.spotify.com/track/6nI98wtHOJAYSASq22TCYu
40,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",210413,https://open.spotify.com/track/23zmMwD99ROi9yhxqMxWil
41,"How You Like That",BLACKPINK,206256,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
