,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,11732,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Come & Go (with Marshmello)","Juice WRLD",9791,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
3,"Wishing Well","Juice WRLD",9082,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
4,"Blinding Lights","The Weeknd",8780,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Life's A Mess (feat. Halsey)","Juice WRLD",7927,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
6,"Savage Love (Laxed - Siren Beat)","Jawsh 685",7721,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
7,"Roses - Imanbek Remix","SAINt JHN",7262,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
8,"Toosie Slide",Drake,6892,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
9,"Party Girl (Remix)",StaySolidRocky,6628,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
10,Righteous,"Juice WRLD",6607,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
11,"Go Crazy","Chris Brown",6537,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
12,"Blueberry Faygo","Lil Mosey",6324,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
13,"Chicago Freestyle (feat. Giveon)",Drake,6019,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
14,"Watermelon Sugar","Harry Styles",5968,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,Conversations,"Juice WRLD",5954,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
16,"Breaking Me",Topic,5757,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
17,"Someone You Loved","Lewis Capaldi",5751,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",5681,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
19,"The Box","Roddy Ricch",5518,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
20,"Dance Monkey","Tones And I",5361,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
21,"Intentions (feat. Quavo)","Justin Bieber",5335,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
22,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",5267,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
23,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",5119,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
24,"Don't Start Now","Dua Lipa",5105,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
25,Dior,"Pop Smoke",5084,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
26,"Life Is Good (feat. Drake)",Future,4990,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
27,"THE SCOTTS","THE SCOTTS",4957,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
28,"Stuck with U (with Justin Bieber)","Ariana Grande",4872,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
29,Circles,"Post Malone",4869,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
30,"Be Kind (with Halsey)",Marshmello,4773,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
31,"You're the One",Elaine,4746,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
32,"death bed (coffee for your head)",Powfu,4705,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
33,"Blood On My Jeans","Juice WRLD",4549,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn
34,"Beautiful People (feat. Khalid)","Ed Sheeran",4508,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
35,Memories,"Maroon 5",4505,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
36,Titanic,"Juice WRLD",4486,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
37,"Before You Go","Lewis Capaldi",4343,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,"everything i wanted","Billie Eilish",4308,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
39,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",4307,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
40,"Rain On Me (with Ariana Grande)","Lady Gaga",4184,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
41,"Bad Energy","Juice WRLD",4174,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO
42,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",4030,https://open.spotify.com/track/7iIzwqG5UxPYwTYUUK4pzU
43,"Lucid Dreams","Juice WRLD",3990,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
44,"ily (i love you baby) (feat. Emilee)","Surf Mesa",3978,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
45,"Stay High","Juice WRLD",3931,https://open.spotify.com/track/1AnkdcHl86kEhDvhaKDuIe
46,Falling,"Trevor Daniel",3883,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
47,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",3763,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
48,"Break My Heart","Dua Lipa",3687,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
49,"WHATS POPPIN","Jack Harlow",3667,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
50,"Fighting Demons","Juice WRLD",3632,https://open.spotify.com/track/0jo6Nd4iJU0UFHqS0Xd4l4
51,"Sunday Best",Surfaces,3627,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
52,"Up Up And Away","Juice WRLD",3614,https://open.spotify.com/track/5lcIegmdblnWqT9nS9EhZj
53,"HIGHEST IN THE ROOM","Travis Scott",3564,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
54,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3555,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
