,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Don't Care (with Justin Bieber)","Ed Sheeran",68400,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
2,"Boy With Luv (feat. Halsey)",BTS,63740,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
3,"Kill This Love",BLACKPINK,55754,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
4,"If I Can't Have You","Shawn Mendes",51866,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
5,"bad guy","Billie Eilish",43163,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
6,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",40503,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh
7,"On My Way","Alan Walker",35942,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
8,Sucker,"Jonas Brothers",34282,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
9,怎麼了,"Eric Chou",33297,https://open.spotify.com/track/2IAumRplFr0Ns09kKgt2je
10,"i'm so tired...",Lauv,32830,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
11,FANCY,TWICE,28007,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
12,SOS,Avicii,26953,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
13,"So Am I","Ava Max",26868,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
14,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",26497,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
15,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,26473,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
16,"Don't Know What To Do",BLACKPINK,25703,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
17,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",25459,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
18,"7 rings","Ariana Grande",24453,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
19,"Here With Me",Marshmello,23726,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
20,"Sweet but Psycho","Ava Max",23477,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
21,"Talk (feat. Disclosure)",Khalid,22979,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
22,"Drugs & The Internet",Lauv,22703,https://open.spotify.com/track/4SHhui9S7lFYGHXikfneGo
23,"Dancing With A Stranger (with Normani)","Sam Smith",21661,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
24,Paradise,Bazzi,21582,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
25,"Who Do You Love","The Chainsmokers",19677,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
