,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,11136,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Blinding Lights","The Weeknd",10014,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Toosie Slide",Drake,9838,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
4,"Roses - Imanbek Remix","SAINt JHN",8659,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"THE SCOTTS","THE SCOTTS",8136,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
6,"The Box","Roddy Ricch",7388,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
7,Eazy,"Nasty C",7318,https://open.spotify.com/track/2WxL4qrdtQFs7RJ9hEbyW1
8,"Blueberry Faygo","Lil Mosey",6985,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Life Is Good (feat. Drake)",Future,6691,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
10,"Chicago Freestyle (feat. Giveon)",Drake,6524,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
11,"Party Girl",StaySolidRocky,6233,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
12,"Intentions (feat. Quavo)","Justin Bieber",6163,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
13,"WHATS POPPIN","Jack Harlow",5973,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
14,"Don't Start Now","Dua Lipa",5948,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
15,"Dance Monkey","Tones And I",5700,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,"Someone You Loved","Lewis Capaldi",5679,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,Circles,"Post Malone",5674,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,"death bed (coffee for your head)",Powfu,5660,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
19,"Go Crazy","Chris Brown",5530,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
20,"Watermelon Sugar","Harry Styles",5504,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
21,Falling,"Trevor Daniel",5480,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
22,"Stuck with U (with Justin Bieber)","Ariana Grande",5298,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
23,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",5238,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
24,"You're the One",Elaine,5157,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
25,"Rain On Me (with Ariana Grande)","Lady Gaga",5083,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
26,"HIGHEST IN THE ROOM","Travis Scott",4741,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
27,ROXANNE,"Arizona Zervas",4667,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
28,"Breaking Me",Topic,4663,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
29,Memories,"Maroon 5",4608,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
30,goosebumps,"Travis Scott",4526,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
31,"Be Kind (with Halsey)",Marshmello,4526,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
32,GOOBA,6ix9ine,4484,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
33,"Sunday Best",Surfaces,4404,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
34,"everything i wanted","Billie Eilish",4389,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
35,"Beautiful People (feat. Khalid)","Ed Sheeran",4378,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
36,"Break My Heart","Dua Lipa",4364,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
37,"SICKO MODE","Travis Scott",4357,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
38,"ily (i love you baby) (feat. Emilee)","Surf Mesa",4312,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
39,"TROLLZ (with Nicki Minaj)",6ix9ine,4265,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
40,"Before You Go","Lewis Capaldi",4195,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
41,"After Party","Don Toliver",4189,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
42,"Lose Somebody",Kygo,3892,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
43,Righteous,"Juice WRLD",3883,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
44,"Godzilla (feat. Juice WRLD)",Eminem,3817,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
45,ZOL,"Max Hurrell",3790,https://open.spotify.com/track/1XtgF9N4G9xDiYiVfu3cID
46,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3777,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
47,"The Bigger Picture","Lil Baby",3660,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
48,"Lucid Dreams","Juice WRLD",3612,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
49,"BELIEVE IT",PARTYNEXTDOOR,3574,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
50,"Ballin' (with Roddy Ricch)",Mustard,3548,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
51,Señorita,"Shawn Mendes",3537,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
52,"hot girl bummer",blackbear,3491,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
53,"I Don't Care (with Justin Bieber)","Ed Sheeran",3435,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
54,Supalonely,BENEE,3405,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
55,"In Your Eyes","The Weeknd",3363,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
