,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",574003,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
2,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",515297,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
3,"Saudade Sua","Gusttavo Lima",497010,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi
4,BRABA,"Luísa Sonza",456301,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
5,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",425021,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
6,"Graveto - Ao Vivo","Marília Mendonça",416013,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
7,"Don't Start Now","Dua Lipa",404350,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
8,"Litrão - Ao Vivo","Matheus & Kauan",396274,https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg
9,Ranking,"Jorge & Mateus",395195,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
10,"Volta por Baixo - Ao Vivo","Henrique & Juliano",379388,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
11,"S de Saudade","Luíza & Maurílio",375539,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
12,"Te Prometo","Dennis DJ",338355,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
13,"Roses - Imanbek Remix","SAINt JHN",330709,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
14,"Tudo Aconteceu","MC Du Black",328751,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
15,"Mentira - Ao Vivo","Felipe Araújo",304024,https://open.spotify.com/track/146Vb458Y5RbqEa0fYFPzm
16,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",297129,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
17,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",292720,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
18,"death bed (coffee for your head)",Powfu,291241,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
19,"Despedida - Ao Vivo","Wesley Safadão",283002,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
20,"Rave de Favela (feat. BEAM)","Major Lazer",274581,https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej
21,"água com açúcar - ao vivo","Luan Santana",268482,https://open.spotify.com/track/6nI98wtHOJAYSASq22TCYu
22,"Vira Homem","Marília Mendonça",268054,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ
