,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,630443,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
2,Mediterranea,Irama,459026,https://open.spotify.com/track/47xPl1gvgdx4Z9dNUuloPg
3,"Sono un bravo ragazzo un po' fuori di testa",Random,312229,https://open.spotify.com/track/5EXLYWZGnmYC01H53WUAhi
4,MAMACITA,"Black Eyed Peas",274003,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
5,"Il bacio di Klimt","Emanuele Aloia",268230,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
6,"Rari - feat. Paky, Shiva",Tedua,262439,https://open.spotify.com/track/24UaUs34XY2PDek7j0OEgg
7,"Good Times",Ghali,253416,https://open.spotify.com/track/5165XjbVxwq9dQDxNk7hmf
8,"Bimbi Per Strada (Children)",Fedez,246551,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
9,"Polvere (feat. Capo Plaza)",Tedua,244691,https://open.spotify.com/track/0ZzXPo0gS5h718w7WErG44
10,Karaoke,Boomdabash,238564,https://open.spotify.com/track/0D4GpOPInKiPxEfQMchu4p
11,"ELEGANTE (feat. Sfera Ebbasta)",DrefGold,228395,https://open.spotify.com/track/7qADAhkEs9vv3ll4hP8ybC
12,"TesTa TrA Le NuVoLE, pT. 2",Alfa,211951,https://open.spotify.com/track/04UtYEP1Jc0GRxbvH1B6Nk
13,Spigoli,"Carl Brave",202684,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
14,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,186684,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
15,"Nena (feat. Geolier & Andry The Hitmaker)","Boro Boro",184201,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
16,"Lo Sai",Tedua,181989,https://open.spotify.com/track/2fQtrzMUMmnnJ5YxSb55MR
17,"Roses - Imanbek Remix","SAINt JHN",177872,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
18,"Fiori di Chernobyl",Mr.Rain,175699,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
19,"Como Llora",Juanfran,170063,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
20,Chega,Gaia,160413,https://open.spotify.com/track/76w5oLSdgYvA0Bt4dTUe0Z
21,"death bed (coffee for your head)",Powfu,156336,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
22,"Party HH - feat. Lazza",Tedua,155566,https://open.spotify.com/track/61koTDrwN9kZQmDhtH7NpM
23,"La Story Infinita - feat. Massimo Pericolo",Tedua,153784,https://open.spotify.com/track/6v8BOEmMSoAa81yNLY3E8J
24,Guaranà,Elodie,153160,https://open.spotify.com/track/1KXpcoggYmNTPCRXIz2m9Z
25,GOOBA,6ix9ine,152179,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
26,"Auto Blu",Shiva,148656,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
27,"Breaking Me",Topic,141030,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
28,Tusa,"KAROL G",138995,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
29,"Manhattan - feat. Wildbandana",Tedua,134618,https://open.spotify.com/track/1ZfOO2GXFZCNJqZFwsiKRL
30,"Rap City - feat. Gemitaiz, MadMan",Tedua,132677,https://open.spotify.com/track/5kqzy7em2F9RZpVoPa6u3a
31,"Colori – feat. Rkomi, Lita",Tedua,128314,https://open.spotify.com/track/1FYMHrbdJxiiF4ur4ZrJy2
32,"Blinding Lights","The Weeknd",123718,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,"Le Feste Di Pablo (con Fedez)",CARA,120363,https://open.spotify.com/track/73x0EIT2YyIxTs3Rpd3n5T
34,Clone,Tedua,116890,https://open.spotify.com/track/4DiKuWqRpGl5TZFg7K2tNy
35,"Pass - feat. Tony Effe",Tedua,114289,https://open.spotify.com/track/6x6gHbKyrznz0xX2WJudIv
36,"Toosie Slide",Drake,113756,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
37,"Boogieman (feat. Salmo)",Ghali,112766,https://open.spotify.com/track/58bRZqUPWnpop0WC9ob5wJ
38,"Dilemme (with tha Supreme & Mara Sattei)","Lous and The Yakuza",107509,https://open.spotify.com/track/1Whf2ZaesM1gXlU0z3Fslt
39,"blun7 a swishland","tha Supreme",106968,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
40,Missili,"Frah Quintale",106015,https://open.spotify.com/track/5dcyltc1ataieXIeTqhH3t
41,"Una voglia assurda",J-AX,105394,https://open.spotify.com/track/2MLz3Pgc9NwNrMfOlILmKt
42,"16 Marzo (feat. Gow Tribe)","Achille Lauro",105038,https://open.spotify.com/track/3nwH3HTFzpnRV5SqM9um3r
43,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",103879,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
44,"Per sentirmi vivo",Fasma,102631,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
45,"Una volta ancora (feat. Ana Mena)","Fred De Palma",101864,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
46,Chiasso,Random,101511,https://open.spotify.com/track/76B3Xb8EqIY4NJF5xoNrCH
47,Ridere,"Pinguini Tattici Nucleari",101155,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
48,"Rain On Me (with Ariana Grande)","Lady Gaga",99462,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
49,"ily (i love you baby) (feat. Emilee)","Surf Mesa",98604,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
50,"NEON - Le Ali (feat. Elisa)",Marracash,98095,https://open.spotify.com/track/76cEI7LczlKZ1yLAHIoPBJ
51,"Vita Vera",Tedua,95734,https://open.spotify.com/track/16j7FamXFr5OeQPhHwkRqj
52,"TKN (feat. Travis Scott)",ROSALÍA,94532,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
53,Bando,ANNA,94007,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
54,"Cacao (feat. Pyrex)",Ghali,92842,https://open.spotify.com/track/0lAzr7LGHV1sdcYJfEKNmu
55,"Pour Toujours (feat. Ghali e Dargen D'Amico)",Tedua,92668,https://open.spotify.com/track/1MIVKNoJo0nxQpgMMmGvML
56,"Boss Bitch","Doja Cat",92656,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
57,"Mare Mosso - feat. Bresh",Tedua,89959,https://open.spotify.com/track/4oU7UcbiSaxbU8xQqGdvwS
58,Purple,Tedua,89177,https://open.spotify.com/track/7vLQn9De3vNvf2NU8dfGzY
59,"Sailor Moon",Tedua,88480,https://open.spotify.com/track/33Ld05DGJs5DihWM3EH91g
60,"Bro II - feat. Ernia",Tedua,86863,https://open.spotify.com/track/229LkOXchZzC4DGbi3R3O9
61,"Bella così - feat. Federica Carta","Chadia Rodriguez",86814,https://open.spotify.com/track/3XLyyybPY2d8kLiMb8HIyA
62,"Break My Heart","Dua Lipa",86808,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
63,"Sultant' a mia","Rocco Hunt",85838,https://open.spotify.com/track/0oa20Wmd4liIjOKS4y5TKB
64,"El Efecto","Rauw Alejandro",85452,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
65,9.3,Mr.Rain,84329,https://open.spotify.com/track/1prey7RGLzP9zS4dk2Y6a8
66,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,83015,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
67,"In Your Eyes","The Weeknd",81415,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
68,goosebumps,"Travis Scott",79958,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
69,"Dance Monkey","Tones And I",79937,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
70,"fuck 3x","tha Supreme",79345,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
71,Motivo,Tedua,79110,https://open.spotify.com/track/4hQULJZ637uTdjHKhsyJ9B
72,"THE SCOTTS","THE SCOTTS",78272,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
73,"Lo-fi Wuhan",Tedua,78097,https://open.spotify.com/track/17z50d3CxHHNuW9muZfifX
74,"AMIRI BOYS (feat. Capo Plaza)","Dark Polo Gang",77968,https://open.spotify.com/track/336EcNskIVcF8deRT8m1zY
75,"Musica (E Il Resto Scompare)","Elettra Lamborghini",77223,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
76,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,77199,https://open.spotify.com/track/5EpBEqf5bnKeJ3p4zA1Sod
77,Amico,Tedua,77028,https://open.spotify.com/track/3UYdeDypwwzZoiQSkcTgvP
78,"Cin Cin",Alfa,76606,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
79,Rapide,Mahmood,75530,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
80,"SICKO MODE","Travis Scott",74602,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
