,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Problemi Con Tutti (Giuda)",Fedez,478250,https://open.spotify.com/track/6dlFPrQ8AvKFPKJ7ZeyDMT
2,Spigoli,"Carl Brave",396207,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
3,"Moonlight Popolare (feat. Massimo Pericolo)",Mahmood,381614,https://open.spotify.com/track/2BM0FMNnZCkCMNMqHmKlpJ
4,GOOBA,6ix9ine,231039,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
5,"Good Times",Ghali,219276,https://open.spotify.com/track/3p7xEm9a2jaWCPelAr3upo
6,"PUSSY (feat. Lazza & Salmo)","Dark Polo Gang",200968,https://open.spotify.com/track/7MhzmWFJYSEsL8wK7hufaC
7,"Fiori di Chernobyl",Mr.Rain,192280,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
8,"WANNABE VOL. 3",Highsnob,184775,https://open.spotify.com/track/7hGMh0mpoxgju622XPhgEc
9,"death bed (coffee for your head)",Powfu,180070,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
10,"Auto Blu",Shiva,179558,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
11,"Roses - Imanbek Remix","SAINt JHN",176790,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,"AMIRI BOYS (feat. Capo Plaza)","Dark Polo Gang",167311,https://open.spotify.com/track/336EcNskIVcF8deRT8m1zY
13,"Nena (feat. Geolier & Andry The Hitmaker)","Boro Boro",164054,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
14,"Blinding Lights","The Weeknd",150675,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Il bacio di Klimt","Emanuele Aloia",143550,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
16,"THE SCOTTS","THE SCOTTS",141024,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
17,"SAVAGE (feat. Tedua)","Dark Polo Gang",137190,https://open.spotify.com/track/4kG6FMpUB3bUmlwLAmv6PM
18,"4L (feat. MamboLosco)","Dark Polo Gang",130339,https://open.spotify.com/track/73tvJPxq6K6J1Pd6p6it6t
19,"blun7 a swishland","tha Supreme",129703,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
20,"Boogieman (feat. Salmo)",Ghali,126427,https://open.spotify.com/track/6E9QGyDV0fkeanLFePwybi
21,"Toosie Slide",Drake,119279,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
22,goosebumps,"Travis Scott",118485,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
23,MAMACITA,"Black Eyed Peas",117421,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
24,Tusa,"KAROL G",116967,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
25,SPACCATO,"Don Joe",116661,https://open.spotify.com/track/7mQ62LcihsxFvN3haHfqVr
26,"Per sentirmi vivo",Fasma,116496,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
27,Bando,ANNA,115294,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
28,"Le Feste Di Pablo (con Fedez)",CARA,113952,https://open.spotify.com/track/73x0EIT2YyIxTs3Rpd3n5T
29,Rapide,Mahmood,113243,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
