,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Don't Care (with Justin Bieber)","Ed Sheeran",8318,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
2,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",7651,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
3,"bad guy","Billie Eilish",6868,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
4,"No Guidance (feat. Drake)","Chris Brown",6828,https://open.spotify.com/track/7FEwp8BavoEVE3AnxJDchc
5,"Money In The Grave (Drake ft. Rick Ross)",Drake,6245,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
6,"You Need To Calm Down","Taylor Swift",5018,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
7,Omertà,Drake,4923,https://open.spotify.com/track/3kCwyvhvVTyehIzYN2I0nF
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4780,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
9,"The London (feat. J. Cole & Travis Scott)","Young Thug",4500,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
10,"Talk (feat. Disclosure)",Khalid,4358,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
11,Wow.,"Post Malone",4214,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
12,Sucker,"Jonas Brothers",4138,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
13,"If I Can't Have You","Shawn Mendes",3991,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
14,"SOS (feat. Aloe Blacc)",Avicii,3620,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
15,"Old Town Road","Lil Nas X",3619,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
16,"Someone You Loved","Lewis Capaldi",3615,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"Call You Mine","The Chainsmokers",3542,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
18,"Eastside (with Halsey & Khalid)","benny blanco",3519,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
19,Happier,Marshmello,3442,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
20,"Piece Of Your Heart",MEDUZA,3349,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
21,"Dancing With A Stranger (with Normani)","Sam Smith",3304,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
22,"7 rings","Ariana Grande",3288,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
23,EARFQUAKE,"Tyler, The Creator",3256,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
24,Shesha,"De Mthuda",3233,https://open.spotify.com/track/5TFJIUlWmQfJZCWVUcBX00
25,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",3169,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
26,Heaven,Avicii,3135,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
27,"Never Really Over","Katy Perry",3096,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
28,Better,Khalid,3090,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
29,"MIDDLE CHILD","J. Cole",3018,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
30,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",2996,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
31,"Rescue Me",OneRepublic,2936,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
32,"Sweet but Psycho","Ava Max",2823,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
33,"Without Me",Halsey,2773,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
34,Gugulethu,"Prince Kaybee",2739,https://open.spotify.com/track/6K7TA9kfqjmqcgfmU4pT4u
35,Youngblood,"5 Seconds of Summer",2705,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
36,Suge,DaBaby,2697,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
37,"Go Loko (feat. Tyga, Jon Z)",YG,2687,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
38,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",2667,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
39,"Better Now","Post Malone",2630,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
40,"Fetch Your Life - Edit","Prince Kaybee",2592,https://open.spotify.com/track/2agd8zFjkoJi4CffsR4V2O
41,Shallow,"Lady Gaga",2562,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
42,"bury a friend","Billie Eilish",2469,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
43,"Who Do You Love","The Chainsmokers",2429,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
44,Kokota,"KayGee DaKing",2365,https://open.spotify.com/track/5SMnO3dXZhkacPLGeATgh9
