,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"everything i wanted","Billie Eilish",2128318,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
2,ROXANNE,"Arizona Zervas",1668339,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Circles,"Post Malone",1299696,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,"HIGHEST IN THE ROOM","Travis Scott",1202864,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
5,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1058009,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
6,"Lose You To Love Me","Selena Gomez",1012834,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
7,"Reply (feat. Lil Uzi Vert)","A Boogie Wit da Hoodie",913944,https://open.spotify.com/track/364spZLB5bhNlnPrzvUB41
8,Memories,"Maroon 5",912879,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
9,"hot girl bummer",blackbear,897620,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
10,"Someone You Loved","Lewis Capaldi",886397,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,"223's (feat. 9lokknine)","YNW Melly",781733,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
12,"Lover (Remix) [feat. Shawn Mendes]","Taylor Swift",764215,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
13,"Dance Monkey","Tones And I",741016,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,"Don't Start Now","Dua Lipa",740244,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
15,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",728888,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
16,"Stuck In A Dream (feat. Gunna)","Lil Mosey",725500,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
17,Woah,"Lil Baby",705565,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
18,Camelot,"NLE Choppa",670715,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
19,"Mean It",Lauv,667315,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
20,"10,000 Hours (with Justin Bieber)","Dan + Shay",665317,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
21,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",662745,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
22,"Follow God","Kanye West",654142,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
23,"Jerry Sprunger (with T-Pain)","Tory Lanez",639726,https://open.spotify.com/track/6JsHgIkMYHcbNtKfsal2Mg
24,Ransom,"Lil Tecca",618226,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
25,"Yellow Hearts","Ant Saunders",607388,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
26,"Goodbyes (Feat. Young Thug)","Post Malone",584714,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
27,"Truth Hurts",Lizzo,582157,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
28,"No Guidance (feat. Drake)","Chris Brown",580656,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
29,"Lights Up","Harry Styles",579002,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
30,VIBEZ,DaBaby,574809,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
31,"Up All Night",Khalid,571056,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
32,"Money In The Grave (Drake ft. Rick Ross)",Drake,569859,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
33,"Tongue Tied (with YUNGBLUD & blackbear)",Marshmello,569641,https://open.spotify.com/track/7jzldCBnJjpJM3epzJ85KE
34,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",564248,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
35,"bad guy","Billie Eilish",559354,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
36,"Make No Sense","YoungBoy Never Broke Again",551971,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
37,"Baby (Lil Baby feat. DaBaby)","Quality Control",549130,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
38,"Ballin' (with Roddy Ricch)",Mustard,543850,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
39,"Trampoline (with ZAYN)",SHAED,542717,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
40,"None Of Your Concern","Jhené Aiko",512886,https://open.spotify.com/track/1nal3Tf1OCV53KigMZXsZ7
41,Suge,DaBaby,511979,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
42,Immortal,"21 Savage",508766,https://open.spotify.com/track/4IO8X9W69dIQe0EC5ALXhq
43,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,503257,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
44,BOP,DaBaby,498131,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
45,"Look At Her Now","Selena Gomez",484571,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
46,Señorita,"Shawn Mendes",468727,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
47,F.N,"Lil Tjay",466638,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
48,"Beauty In The Benz (feat. Snoop Dogg)","Tory Lanez",462728,https://open.spotify.com/track/0BpYTh0O2ut5wvt0QtDGt4
49,"Hot Shower","Chance the Rapper",461517,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
50,"Beautiful People (feat. Khalid)","Ed Sheeran",459673,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
51,Graveyard,Halsey,459656,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
52,"Enemies (feat. DaBaby)","Post Malone",458061,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
53,"Death (feat. DaBaby)","Trippie Redd",456810,https://open.spotify.com/track/6YfTl5YupXOQBKiJJLrxcw
54,VALENTINO,24kGoldn,450283,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
55,"How Do You Sleep?","Sam Smith",446799,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
56,Panini,"Lil Nas X",442378,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
57,"The London (feat. J. Cole & Travis Scott)","Young Thug",433014,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
58,"Hot (feat. Gunna)","Young Thug",426805,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
59,"MIDDLE CHILD","J. Cole",415338,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
60,"Start Wit Me (feat. Gunna)","Roddy Ricch",398122,https://open.spotify.com/track/5ravc2aiNoYmu9m37diYXW
61,"Did It Again","Lil Tecca",395467,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj
62,"Bad Bad Bad (feat. Lil Baby)","Young Thug",389980,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
63,"Living Proof","Camila Cabello",388950,https://open.spotify.com/track/1jg9clsGCDqOumfS0X5xm9
64,Juicy,"Doja Cat",388243,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
65,Wow.,"Post Malone",385993,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
66,"Pop Out (feat. Lil Tjay)","Polo G",385519,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
67,"The Take (feat. Chris Brown)","Tory Lanez",380738,https://open.spotify.com/track/0Odu228D0yGcFySGuxU4rY
68,Liar,"Camila Cabello",378970,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
69,Somebody,"Internet Money",373355,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
70,"One Man Band","Old Dominion",372286,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
71,"Hate Me (with Juice WRLD)","Ellie Goulding",371565,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
72,Candy,"Doja Cat",370313,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
73,"when the party's over","Billie Eilish",368215,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
74,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",367643,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
75,"Lucid Dreams","Juice WRLD",361521,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
76,"Good Thing (with Kehlani)",Zedd,361441,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
77,Saint-Tropez,"Post Malone",359339,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
78,"Murder On My Mind","YNW Melly",358279,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
79,"RITMO (Bad Boys For Life)","Black Eyed Peas",357061,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
80,"Going Bad (feat. Drake)","Meek Mill",356143,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
81,"It's You","Ali Gatie",350414,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
82,Lalala,Y2K,348746,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
83,"SICKO MODE","Travis Scott",348592,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
84,"lovely (with Khalid)","Billie Eilish",344552,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
85,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",343311,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
86,"Talk (feat. Disclosure)",Khalid,341187,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
87,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",340886,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
88,"All I Want for Christmas Is You","Mariah Carey",339693,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
89,"SLOW DANCING IN THE DARK",Joji,334831,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
90,Lover,"Taylor Swift",333564,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
91,Speechless,"Dan + Shay",326474,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
92,Trigger,"Major Lazer",322872,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif
93,"Even Though I'm Leaving","Luke Combs",320323,https://open.spotify.com/track/5aZQrb2TXWEh9uZR4HEY3r
94,"Beer Never Broke My Heart","Luke Combs",318225,https://open.spotify.com/track/3RzcoFkZ0AOp2nH71jP504
95,"Heartless (feat. Morgan Wallen)",Diplo,317826,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
96,"Hollywood's Bleeding","Post Malone",317777,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
97,EARFQUAKE,"Tyler, The Creator",317223,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
98,Robbery,"Juice WRLD",316993,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
99,"Beautiful Crazy","Luke Combs",315540,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
100,"I Don't Care (with Justin Bieber)","Ed Sheeran",311610,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
101,"Sanguine Paradise","Lil Uzi Vert",308998,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
102,"Panini - DaBaby Remix","Lil Nas X",308036,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
103,"Nice To Meet Ya","Niall Horan",307395,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
104,"One Thing Right",Marshmello,305724,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
105,"You Need To Calm Down","Taylor Swift",305594,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
106,"The Trade (feat. Jagged Edge & Jermaine Dupri)","Tory Lanez",305112,https://open.spotify.com/track/1nwsxV3FiYC3SJD9OfcVfF
107,"Ransom (with Juice WRLD) - Remix","Lil Tecca",302178,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
108,"If the World Was Ending - feat. Julia Michaels","JP Saxe",302148,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
109,"Self Control","YoungBoy Never Broke Again",300821,https://open.spotify.com/track/4vSoyDfL0uZyUoWu5NNNsQ
110,Callaita,"Bad Bunny",300021,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
111,Chanel,"Frank Ocean",298591,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
112,"LA CANCIÓN","J Balvin",296564,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
113,"rockstar (feat. 21 Savage)","Post Malone",295376,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
114,"BEST ON EARTH (feat. BIA) - Bonus",Russ,294439,https://open.spotify.com/track/2Xo3rLHjXfdb4avN68aQyi
115,"7 rings","Ariana Grande",294379,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
116,"I Fall Apart","Post Malone",292084,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
117,Falling,"Trevor Daniel",291178,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
118,"Takeaway (feat. Lennon Stella)","The Chainsmokers",290519,https://open.spotify.com/track/63VyEdzMM3w4ZQ1WtARa2S
119,goosebumps,"Travis Scott",286783,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
120,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",285344,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
121,Motivation,Normani,284238,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
122,"Eastside (with Halsey & Khalid)","benny blanco",284197,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
123,"Better Together","Luke Combs",283616,https://open.spotify.com/track/1tSGw3h54aHModEHHL1HGK
124,"Ride It",Regard,283592,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
125,"Love Me","Lil Tecca",283547,https://open.spotify.com/track/4e0FYxSROat25pH16zMTZI
126,Better,Khalid,282969,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
127,"Cash Shit (feat. DaBaby)","Megan Thee Stallion",280365,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
128,"In My Room","Frank Ocean",279625,https://open.spotify.com/track/4S4Mfvv03M1cHgIOJcbUCL
129,"Better Now","Post Malone",279520,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
130,"Behind Barz - Bonus",Drake,276776,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
131,"Envy Me",Calboy,276760,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
132,Bruises,"Lewis Capaldi",275296,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
133,"Pure Water (with Migos)",Mustard,274292,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
134,"My Type",Saweetie,273888,https://open.spotify.com/track/5KBARWIxeMGkvUax9VtVC9
135,Sucker,"Jonas Brothers",273588,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
136,July,"Noah Cyrus",272928,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
137,SAD!,XXXTENTACION,272609,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
138,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",272416,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
139,"Without Me",Halsey,270702,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
140,"Good as Hell",Lizzo,270415,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
141,Happier,Marshmello,267923,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
142,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,265355,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
143,"Old Town Road - Remix","Lil Nas X",265178,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
144,"Die For Me (feat. Future & Halsey)","Post Malone",264466,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
145,"Jocelyn Flores",XXXTENTACION,261701,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
146,"Bad To You (with Normani & Nicki Minaj)","Ariana Grande",260634,https://open.spotify.com/track/7vJS1DPc3FzBtqBs8n3mW5
147,I.F.L.Y.,Bazzi,260191,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
148,"thank u, next","Ariana Grande",259591,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
149,"Hot Now","YoungBoy Never Broke Again",259468,https://open.spotify.com/track/3eeyKNIBrt5TH4y0y3QkOu
150,"Whiskey Glasses","Morgan Wallen",258437,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
151,Noticed,"Lil Mosey",255908,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
152,"What You See Is What You Get","Luke Combs",254267,https://open.spotify.com/track/1xIgz2QjA85ZpXiIoj6mMo
153,"boyfriend (with Social House)","Ariana Grande",253834,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
154,"Tokyo Drifting (with Denzel Curry)","Glass Animals",253132,https://open.spotify.com/track/3AHqaOkEFKZ6zEHdiplIv7
155,Blanco,"J Balvin",252372,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
156,"Last Name (feat. Lil Durk)",Future,251164,https://open.spotify.com/track/1wTH87zcNcR4vn1iJLDv0c
157,"The Less I Know The Better","Tame Impala",250904,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
158,"Love Me More","Trippie Redd",246571,https://open.spotify.com/track/2NSWi83peog6gHerzlMCqU
159,"a lot","21 Savage",245639,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
160,"Yes Indeed","Lil Baby",245637,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
161,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",245045,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
162,"If I Can't Have You","Shawn Mendes",245019,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
163,China,"Anuel AA",243521,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
164,"Look Back at It","A Boogie Wit da Hoodie",243327,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
165,"All Girls Are The Same","Juice WRLD",242687,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
166,"Broken Promises","Tory Lanez",242672,https://open.spotify.com/track/74a9iiRlyYXgwjSrntULcv
167,"bury a friend","Billie Eilish",242605,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
168,"Come Thru (with Usher)","Summer Walker",240853,https://open.spotify.com/track/3TTMUI5dFcbeNSDTTDY9M8
